Year,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
2000,0.6513333333333333,0.6866833333333333,6.4,-10.7698,0.07884833333333334,0.274395,0.0280623975,0.21321,0.67215,112.41101666666667
2001,0.6383492063492063,0.6265555555555555,6.396825396825397,-9.210650793650794,0.09191587301587302,0.29674190476190476,0.0006864868253968254,0.15535873015873017,0.5896666666666667,113.78268253968254
2002,0.626537037037037,0.6694814814814815,5.574074074074074,-10.015166666666666,0.12490555555555556,0.30904574074074076,0.01618834611111111,0.18742777777777778,0.6038796296296296,118.1002037037037
2003,0.63896875,0.61409375,4.71875,-9.87615625,0.077478125,0.33075625,0.015666664375,0.222109375,0.56390625,114.9885625
2004,0.6003589743589743,0.6756923076923077,5.128205128205129,-8.007923076923078,0.0665974358974359,0.4169307692307692,0.005661156666666667,0.13723846153846153,0.5715846153846154,119.51141025641026
2005,0.6836153846153846,0.718325641025641,5.666666666666667,-8.16251282051282,0.07388205128205129,0.30414615384615384,0.004378279487179487,0.1439794871794872,0.5831538461538461,110.58771794871795
2006,0.6211515151515151,0.6693030303030303,5.181818181818182,-8.331272727272728,0.06675454545454546,0.37359363636363635,0.025500169696969697,0.13684545454545455,0.5826969696969697,116.29933333333334
2007,0.6776842105263158,0.7383157894736843,5.333333333333333,-7.016578947368421,0.07557543859649123,0.2784701754385965,0.01886126947368421,0.16707017543859648,0.6479526315789473,113.5002105263158
2008,0.687734693877551,0.7112224489795919,5.551020408163265,-7.768979591836735,0.09749591836734695,0.24933714285714287,0.06894400306122449,0.16521632653061225,0.6746938775510204,114.89828571428572
2009,0.6512926829268293,0.7064512195121951,5.487804878048781,-7.056878048780487,0.07736463414634147,0.30190634146341466,0.011223230853658537,0.17453536585365853,0.6306,116.39118292682927
2010,0.657051724137931,0.7437241379310344,4.775862068965517,-6.632310344827586,0.07646206896551724,0.257972,0.032302989655172414,0.19946724137931035,0.6506206896551724,112.77484482758621
2011,0.6645384615384615,0.7119052307692307,4.769230769230769,-7.330661538461539,0.07137846153846154,0.29153215384615383,0.04568176523076923,0.14444615384615384,0.6442307692307693,120.34353846153846
2012,0.65125,0.6891818181818182,5.193181818181818,-7.059602272727273,0.07463409090909091,0.2972053409090909,0.014715262613636364,0.16792159090909092,0.5911534090909091,115.31244318181818
2013,0.6365166666666666,0.732285,5.466666666666667,-6.41945,0.08857666666666666,0.31954805000000003,0.016810776666666666,0.17459333333333332,0.597875,123.98378333333334
2014,0.6185567010309279,0.6482061855670103,5.762886597938144,-7.230958762886598,0.06229587628865979,0.3739977319587629,0.012396338453608248,0.17511649484536082,0.5502268041237114,117.41178350515465
2015,0.6006904761904762,0.6980357142857143,4.738095238095238,-6.200726190476191,0.06037142857142857,0.37891179761904764,0.00910401011904762,0.18413928571428573,0.4998369047619048,115.72588095238095
2016,0.62688,0.66208,4.89,-6.2607,0.066816,0.4085072,0.0019897688,0.158853,0.51197,119.36951
2017,0.64434,0.659945,5.37,-6.54625,0.063914,0.3716537,0.0158008252,0.179708,0.556411,115.42116
2018,0.6245833333333334,0.6485,4.714285714285714,-6.494452380952381,0.06074642857142857,0.4098407142857143,0.007732879166666666,0.16360238095238094,0.4974404761904762,119.42957142857144
2019,0.6609,0.70044,4.82,-5.63438,0.069308,0.3855622,0.0065222618999999996,0.172618,0.53066,113.56981
2020,0.6510400000000001,0.665368,5,-6.29572,0.061532,0.336772,0.035927168,0.15776,0.46594800000000003,113.88676
