Song,Artists,Release Date,Popularity
Kajra Re,"['Alisha Chinai', 'Shankar Mahadevan', 'Javed Ali']",2005-04-15,49
Dhadak Dhadak,"['Udit Narayan', 'Sunidhi Chauhan', 'Nihira Joshi']",2005-04-15,36
Nach Baliye,"['Shankar Mahadevan', 'Sowmya Raoh', 'Loy Mendonsa']",2005-04-15,39
Chup Chup Ke,"['Sonu Nigam', 'Mahalakshmi Iyer']",2005-04-15,36
B N B,"['Blaaze', 'Shankar Mahadevan', 'Loy Mendonsa']",2005-04-15,24
Bunty Aur Babli,"['Sukhwinder Singh', 'Jaspinder Narula', 'Shankar Mahadevan', 'Siddharth Mahadevan']",2005-04-15,32
Salaam Namaste,"['Kunal Ganjawala', 'Vasundhara Das']",2005-08-03,43
My Dil Goes Mmmm,"['Shaan', 'Gayatri Iyer']",2005-08-03,44
Tu Jahaan,"['Sonu Nigam', 'Mahalakshmi Iyer']",2005-08-03,34
Whats Goin' On,"['Kunal Ganjawala', 'Sunidhi Chauhan']",2005-08-03,31
Aashiq Banaya Aapne,"['Himesh Reshammiya', 'Shreya Ghoshal']",2005-07-29,39
Say Na Say Na,"['Aneela Mirza', 'Robert Uhlmarash', 'Johan Bejerholm']",1963-12-01,42
Deedar De,"['Sunidhi Chauhan', 'Krishna']",2005-05-30,28
Dus Bahane,"['Shaan', 'KK']",2005-05-30,51
Kiss Me Baby,['Adnan Sami'],2005-09-15,32
Dil Samander,"['K Kay', 'Sunidhi Chauhan']",2005-09-15,27
Tauba Tauba,"['Salim�Sulaiman', 'Sonu Nigam', 'Kunal Ganjawala', 'Sunidhi Chauhan', 'Richa Sharma']",2005-02-28,39
Jiya Dhadak Dhadak Jaye,['Rahat Fateh Ali Khan'],2005-12-09,42
Aadat,['Atif Aslam'],2005-12-09,40
Tujhe Dekh Dekh,['Rahat Fateh Ali Khan'],2005-12-09,31
Just Chill,"['Sonu Nigam', 'Jayesh Gandhi', 'Amrita Kak']",2005-05-24,33
Neal N Nikki,"['KK', 'Shweta Pandit']",2005-11-02,19
Halla Re,"['Shweta Pandit', 'Salim Merchant', 'Robert Bob Omulo']",2005-11-02,28
Kangna Re,"['Sonu Nigam', 'Shreya Ghoshal', 'Madhushree', 'Bela Shende', 'Kalapini Komakali']",2005-05-06,22
Dheere Jalna,"['Shreya Ghoshal', 'Sonu Nigam']",2005-05-06,24
Piyu Bole,"['Sonu Nigam', 'Shreya Ghoshal']",2005,47
Kaisi Paheli Zindagani,['Sunidhi Chauhan'],2005,39
Hui Main Parineeta,"['Sonu Nigam', 'Shreya Ghoshal']",2005,20
Raat Hamari Toh,"['K. S. Chithra', 'Swanand Kirkire']",2005,30
Sholon Si,"['Vishal Dadlani', 'Sunidhi Chauhan']",2004-12-11,24
Ban Jaiye,"['Kunal Ganjawala', 'Himesh ReshammiyaAlka Yagnik']",2005-01-01,24
Meri Jaan,"['Sadhana Sargam', 'Himesh Reshammiya', 'Kunal Gajawala']",2005-01-01,9
Ahista Ahista,"['Sonu Nigam', 'Jayesh Gandhi', 'Himesh Reshammiya', 'Shreya Ghoshal']",2005-01-01,5
Meri Chandi Tu,"['Sunidhi Chauhan', 'Suzan', 'Himesh Reshammiya', 'Kailash Kher']",2005-01-01,6
Belibaas,"['Jayesh Gandhi', 'Himesh Reshammiya', 'Suzan', 'Sunidhi Chauhan']",2005-01-01,4
Zindagi,"['Sonu Nigam', 'Sunidhi Chauhan']",2004-11-10,10
Agar Tum Mil Jao - Female Vocals,['Shreya Ghoshal'],2005-02-25,30
Agar Tum Mil Jao - Male Vocals,['Udit Narayan'],2005-02-25,39
Woh Lamhe Woh Baatein,['Atif Aslam'],2005-02-25,37
