Song,Artists,Release Date,Popularity
"Malang (Title Track) [From ""Malang - Unleash The Madness""]",['Ved Sharma'],2020-01-16,72
Lagdi Lahore Di,"['Guru Randhawa', 'Tulsi Kumar']",2020-02-13,60
"Nachan Nu Jee Karda (From ""Angrezi Medium"")","['Romy', 'Nikhita Gandhi', 'Tanishk Bagchi', 'Tigerstyle']",2020-02-28,63
"Hui Malang (From ""Malang - Unleash The Madness"")","['Asees Kaur', 'Ved Sharma']",2020-02-03,66
Do You Love Me,['Nikhita Gandhi'],2020-03-07,42
Haan Main Galat,"['Pritam', 'Arijit Singh', 'Shashwat Singh']",2020-02-14,65
Shayad,"['Pritam', 'Arijit Singh']",2020-02-14,67
"Pyaar Tenu Karda Gabru (From ""Shubh Mangal Zyada Saavdhan"")","['Romy', 'Tanishk Bagchi', 'Yo Yo Honey Singh']",2020-01-27,67
"Muqabla (From ""Street Dancer 3D"")","['Yash Narvekar', 'Parampara Thakur', 'Tanishk Bagchi']",2019-12-21,69
"Illegal Weapon 2.0 (From ""Street Dancer 3D"")","['Jasmine Sandlas', 'Garry Sandhu', 'Tanishk Bagchi', 'Intense']",2020-01-04,72
"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)","['Badshah', 'Neha Kakkar', 'Varun Dhawan']",2019-12-26,73
"Kudi Nu Nachne De (From ""Angrezi Medium"")","['Vishal Dadlani', 'Sachin-Jigar']",2020-03-04,62
"Dus Bahane 2.0 (From ""Baaghi 3"") (feat. K.K., Shaan, Tulsi Kumar)","['Vishal', 'Shekhar Ravjiani', 'Vishal-Shekhar']",2020-02-12,66
Hayo Rabba,['Suvarna Tiwari'],2020-02-28,43
"Dus Bahane 2.0 (feat. K.K., Shaan, Tulsi Kumar)","['Vishal', 'Shekhar Ravjiani', 'KK', 'Shaan', 'Tulsi Kumar']",2020-03-07,44
Faaslon Mein,['Sachet Tandon'],2020-03-07,42
Sau Galtiyan,"['Yasser Desai', 'Khushboo Grewal']",2020-01-06,24
Mainu Rang Lageya,['Piyush Mehroliyaa'],2020-01-06,26
Chhapaak Title Track,['Arijit Singh'],2020-01-14,31
Nok Jhok,['Siddharth Mahadevan'],2020-01-14,21
Khulne Do,['Arijit Singh'],2020-01-14,26
Sab Jhulas Gaya,['Arijit Singh'],2020-01-14,32
Kahun - Reprise,"['Ankur Tewari', 'Divya. L']",2020-03-06,31
Masakali 2.0,"['Tulsi Kumar', 'Sachet Tandon', 'Mohit Chauhan', 'A.R. Rahman', 'Tanishk Bagchi']",2020-04-08,60
Manney Ignore Kar Rahi,['Amitabh Bhattacharya'],2020-01-14,23
