Song,Artists,Release Date,Popularity
"Hamari Atariya (From ""Dedh Ishqiya"")",['Rekha Bhardwaj'],2014-04-21,34
"Jagaave Saari Raina (From ""Dedh Ishqiya"")","['Rekha Bhardwaj', 'Birju Maharaj']",2014-04-21,16
"Dil Ka Mizaaj Ishqiya (From ""Dedh Ishqiya"")",['Rahat Fateh Ali Khan'],2014-04-21,27
Baarish,"['Mohammed Irfan', 'Gajendra Verma']",2013-12-09,52
Sunny Sunny,"['Yo Yo Honey Singh', 'Neha Kakkar']",2013-12-09,42
Babloo Happy Hai,['Hard Kaur'],2013-12-12,0
Punjabi Wedding Song,"['Vishal-Shekhar', 'Sunidhi Chauhan', 'Benny Dayal']",2014-01-05,47
Shake It Like Shammi,"['Vishal-Shekhar', 'Benny Dayal']",2014-01-05,32
Drama Queen,"['Vishal-Shekhar', 'Shreya Ghoshal', 'Vishal Dadlani']",2014-01-05,38
Zehnaseeb,"['Vishal-Shekhar', 'Chinmayi', 'Shekhar Ravjiani']",2014-01-05,54
Ishq Bulaava,"['Vishal-Shekhar', 'Sanam Puri', 'Shipra Goyal']",2014-01-05,50
Tune Maari Entriyaan,"['Bappi Lahiri', 'KK', 'Neeti Mohan', 'Vishal Dadlani']",2013-12-26,45
Jiya,['Arijit Singh'],2013-12-26,32
Asalaam-e-Ishqum,"['Bappi Lahiri', 'Neha Bhasin']",2013-12-26,40
Saaiyaan,['Shahid Mallya'],2013-12-26,33
Patakha Guddi,"['Sultana', 'Jyoti Nooran']",2014-01-22,49
Maahi Ve,['A.R. Rahman'],2014-01-22,54
Kahaan Hoon Main,['Jonita Gandhi'],2014-01-22,33
Wanna Mash Up ?,"['Kash', 'Krissy', 'Suvi Suresh']",2014-01-22,26
Sooha Saaha,"['Zeb', 'Alia Bhatt']",2014-01-22,39
Patakha Guddi (Male Version),['A.R. Rahman'],2014-01-22,33
Implosive Silence,['Jonita Gandhi'],2014-01-22,27
Tu Kuja,['Sunidhi Chauhan'],2014-01-22,26
Heera,['Shweta Pandit'],2014-01-22,28
Tauba Main Vyaah Karke Pachhtaya,"['Shahid Mallya', 'Poorvi Koutish', 'Alam']",2014-02-19,18
Gulaabi,"['Malabika Brahma', 'Shilpa Rao']",2014-02-07,10
London Thumakda,"['Labh Janjua', 'Sonu Kakkar', 'Neha Kakkar']",2014-02-04,50
Badra Bahaar,['Amit Trivedi'],2014-02-04,37
O Gujariya,"['Shefali Alvares', ""Nikhil D'Souza""]",2014-02-04,46
Taake Jhanke,['Arijit Singh'],2014-02-04,46
Jugni,['Amit Trivedi'],2014-02-04,44
Harjaiyaan,['Nandini Srikar'],2014-02-04,33
Kinare,['Mohan Kanan'],2014-02-04,41
Ranjha (Queen),['Rupesh Kumar Ram'],2014-02-04,35
Aaj Laagi Laagi Nai Dhoop,['Kailash Kher'],2014-03-04,4
Aayi Bahaar,['Kailash Kher'],2014-03-04,3
Kaise Sukh Soyein,['Ronkini Gupta'],2014-03-04,2
Yaad Saari Baari Baari,['Kailash Kher'],2014-03-04,1
Hakka Bakka,['Shaan'],2014-03-04,0
Dheeme Re Re,['Mansheel Gujral'],2014-03-04,3
Baby Doll,"['Meet Bros Anjjan', 'Kanika Kapoor']",2014-02-28,45
Palat - Tera Hero Idhar Hai,['Arijit Singh'],2014-03-03,39
Mast Magan,"['Arijit Singh', 'Chinmayi']",2014-03-14,52
Locha-E-Ulfat,['Benny Dayal'],2014-03-14,43
Rabba,['Mohit Chauhan'],2014-04-21,41
"Whistle Baja Ke - From ""Heropanti""","['Manj', 'Nindy Kaur', 'Raftaar']",2014-04-13,0
Soney Do,"['Jeet Gannguli', 'Arijit Singh']",2014-05-12,18
Darbadar,"['Jeet Gannguli', 'Neeti Mohan']",2014-05-12,15
Muskurane - Unplugged,"['Jeet Gannguli', 'Mohammed Irfan']",2014-05-12,33
Caller Tune,"['Himesh Reshammiya', 'Neeti Mohan']",2014-05-26,36
Galliyan,['Ankit Tiwari'],2014-05-28,47
Banjaara,['Mohammed Irfan'],2014-05-28,49
Zaroorat,['Mustafa Zahid'],2014-05-28,46
Awari,"['Adnan Dhool', 'Momina Mustehsan']",2014-05-28,49
Humdard,['Arijit Singh'],2014-05-28,53
Galliyan (Unplugged),"['Shraddha Kapoor', 'Ankit Tiwari']",2014-05-28,46
"Khalifa (From ""Lekar Hum Deewana Dil"")",['A.R. Rahman'],2014-06-03,14
Saturday Saturday,"['Sharib Toshi', 'Badshah', 'Indeep Bakshi', 'Akriti Kakkar']",2014-06-19,40
D Se Dance,"['Sachin-Jigar', 'Vishal Dadlani', 'Shalmali Kholgade', 'Anushka Manchanda']",2014-06-19,35
Samjhawan,"['Jawad Ahmad', 'Sharib Toshi', 'Arijit Singh', 'Shreya Ghoshal']",2014-06-19,57
"Samjhawan (Unplugged by Alia Bhatt) [From ""Humpty Sharma Ki Dulhania""]","['Jawad Ahmad', 'Sharib Toshi', 'Alia Bhatt']",2014-06-19,53
Yaar Naa Miley,"['Yo Yo Honey Singh', 'Jasmine Sandlas']",2014-07-07,43
Jumme Ki Raat,"['Mika Singh', 'Palak Muchhal']",2014-07-07,38
Hangover,"['Salman Khan', 'Meet Bros Anjjan', 'Shreya Ghoshal']",2014-07-07,47
Dukki Tikki,['Mika Singh'],2014-07-23,6
Namak Paare,"['Mamta Sharma', 'Anupam Amod']",2014-07-23,7
Kabhi Ruhani Kabhi Rumani,['Benny Dayal'],2014-07-23,17
Ziddi Dil,['Vishal Dadlani'],2018-05-27,45
Sukoon Mila,['Arijit Singh'],2018-05-27,53
Adhure,['Sunidhi Chauhan'],2018-05-27,27
Chaoro (Lori),['Priyanka Chopra'],2018-05-27,26
Fanny Re,"['Mathias Duplessy', 'Mukhtiyar Ali']",2014-08-21,20
Sawan Aaya Hai,['Arijit Singh'],2014-08-16,41
Hum Naa Rahein Hum,['Benny Dayal'],2014-08-16,24
Daawat-e-Ishq,"['Javed Ali', 'Sunidhi Chauhan']",2014-07-17,26
Mannat,"['Keerthi Sagathia', 'Shreya Ghoshal', 'Sonu Nigam']",2014-07-17,31
Engine Ki Seeti,"['Sunidhi Chauhan', 'Resmi Sateesh']",2014-08-12,29
Abhi Toh Party Shuru Hui Hai,"['Badshah', 'Aastha']",2014-08-12,54
Preet,['Jasleen Royal'],2014-08-12,48
Naina,"['Sona Mohapatra', 'Armaan Malik']",2014-08-12,54
Tu Meri,"['Vishal-Shekhar', 'Vishal Dadlani']",2014-09-19,58
Meherbaan,"['Vishal-Shekhar', 'Ash King', 'Shilpa Rao', 'Shekhar Ravjiani']",2014-09-19,49
Meherbaan - Reprise,"['Vishal-Shekhar', 'Shekhar Ravjiani']",2014-09-19,32
Bang Bang,"['Vishal-Shekhar', 'Benny Dayal', 'Neeti Mohan']",2014-09-19,57
Bismil,['Sukhwinder Singh'],2014-09-15,22
Manwa Laage,"['Shreya Ghoshal', 'Arijit Singh']",2014-09-26,42
Lovely,"['Kanika Kapoor', 'Ravindra Upadhyay', 'Miraya Varma', 'Fateh']",2014-09-26,45
Dance Like A Chammiya,"['Sunidhi Chauhan', 'Vishal Dadlani']",2014-09-26,33
Aashiq Mizaaj,['Aman Trikha'],2018-08-07,23
Sajde,"['Arijit Singh', 'Nihira Joshi Deshpande', 'Gulzar']",2014-09-25,36
