Song,Artists,Release Date,Popularity
Ae Dil Hai Mushkil Title Track,"['Pritam', 'Arijit Singh']",2016-10-26,60
Nashe Si Chadh Gayi,['Arijit Singh'],2016-12-01,57
Phir Teri Bahon Mein,['Sonu Kakkar'],2016-04-27,17
"Sanam Teri Kasam (From ""Sanam Teri Kasam"")","['Ankit Tiwari', 'Palak Muchhal']",2016-01-07,42
"Kheech Meri Photo (From ""Sanam Teri Kasam"")","['Neeti Mohan', 'Akasa Singh', 'Darshan Raval']",2016-01-07,32
Bewajah,['Himesh Reshammiya'],2016-01-07,31
"Tera Chehra (From ""Sanam Teri Kasam"")",['Arijit Singh'],2016-01-07,36
Haal - E - Dil (Female),['Neeti Mohan'],2016-01-07,22
Ek Number,"['Himesh Reshammiya', 'Neeti Mohan']",2016-01-07,26
Sanam Re,"['Mithoon', 'Arijit Singh']",2016-01-04,48
Kya Tujhe Ab Ye Dil Bataye,['Falak Shabbir'],2016-01-04,38
Tum Bin,['Shreya Ghoshal'],2016-01-04,34
Yeh Fitoor Mera,['Arijit Singh'],2018-05-15,59
Pashmina,['Amit Trivedi'],2018-05-15,52
Haminastu,['Zeb Bangash'],2018-05-15,36
Hone Do Batiyaan,"['Nandini Srikar', 'Zeb Bangash']",2018-05-15,33
Tere Liye,"['Sunidhi Chauhan', 'Jubin Nautiyal']",2018-05-15,39
Rangaa Re Hindi,"['Sunidhi Chauhan', 'Amit Trivedi']",2018-05-15,30
Dil Cheez Tujhe Dedi,"['Ankit Tiwari', 'Arijit Singh']",2015-12-17,46
Soch Na Sake,"['Amaal Mallik', 'Arijit Singh', 'Tulsi Kumar']",2015-12-17,60
Hor Nach,"['Meet Bros Anjjan', 'Ritu Pathak']",2015-12-29,21
Aisa Kyun Maa,['Sunidhi Chauhan'],2016-02-08,36
Jeete Hain Chal,['Kavita Seth'],2016-02-08,38
Aankhein Milayenge Darr Se,"['K. Mohan', 'Neha Bhasin']",2016-02-08,26
Rock Tha Party,['Bombay Rockers'],2016-03-04,32
Rehnuma,"['Shreya Ghoshal', 'Inder Bawra']",2016-03-04,40
Aye Khuda,"['Rahat Fateh Ali Khan', 'Shreya Ghoshal']",2016-03-04,30
Titliyan,['Sunidhi Chauhan'],2016-03-04,23
Kar Gayi Chull,"['Badshah', 'Amaal Mallik', 'Fazilpuria', 'Sukriti Kakar', 'Neha Kakkar']",2016-03-04,51
Bolna,"['Tanishk Bagchi', 'Arijit Singh', 'Asees Kaur']",2016-03-04,46
Let's Nacho,"['Nucleya', 'Benny Dayal', 'Badshah']",2016-03-04,46
High Heels Te Nachche,"['Meet Bros.', 'Yo Yo Honey Singh', 'Jaz Dhami', 'Aditi Singh Sharma']",2016-03-04,45
Ji Huzoori,"['Mithoon', 'Deepali']",2016-03-04,34
Oye Oye,"['Aditi Singh Sharma', 'Armaan Malik']",2016-04-07,35
Tung Lak,"['Sukhwinder Singh', 'Sunidhi Chauhan', 'Shail Hada', 'Kalpana Gandharv']",2016-04-29,12
Rabba,['Shafqat Amanat Ali'],2016-04-29,13
Barsan Laagi,['Shail Hada'],2016-04-29,7
"Pyar Ki (feat. Nakkash Aziz, Divya Kumar, Anmoll Mallik, Earl Edgar)","['Shaarib', 'Toshi', 'Nakash Aziz', 'Divya Kumar', 'Anmoll Mallik', 'Earl Edgar']",2016-05-10,32
"Taang Uthake (feat. Mika Singh, Neeti Mohan, Mamta Sharma, Hrishikesh Chury)","['Sohail Sen', 'Mika Singh', 'Neeti Mohan', 'Mamta Sharma', 'Hrishikesh Chury']",2016-05-10,31
Malamaal,"['Mika Singh', 'Akira', 'Miss Pooja', 'Kuwar Virk']",2016-05-10,33
Fake Ishq,"['Kailash Kher', 'Nakash Aziz', 'Altamash Faridi']",2016-05-10,17
Chitta Ve,"['Babu Haabi', 'Shahid Mallya', 'Bhanu Prtap']",2016-05-18,39
Da Da Dasse,"['Kanika Kapoor', 'Babu Haabi']",2016-05-18,41
