Song,Artists,Release Date,Popularity
Chamak Challo Chel Chabeli,"['Sajid-Wajid', 'Kumar Sanu', 'Shreya Ghoshal']",2012-06-24,30
Tera Naam Japdi Phiran,"['Javed Bashir', ""Nikhil D'Souza"", 'Shefali Alvares']",2012-06-12,31
"Tum Hi Ho Bandhu (From ""Cocktail"")","['Neeraj Shridhar', 'Kavita Seth']",2012-06-12,51
"Daaru Desi (From ""Cocktail"")","['Benny Dayal', 'Shalmali Kholgade']",2012-06-12,39
Yaariyaan,"['MOHAN KANAN', 'Shilpa Rao']",2012-06-12,34
"Second Hand Jawaani (From ""Cocktail"")","['Miss Pooja', 'Neha Kakkar', 'Nakash Aziz']",2012-06-12,39
"Luttna (From ""Cocktail"")","['MASUMA ANWAR', 'Anupam Amod', 'Sahir Ali Bagga']",2012-06-12,21
"Jugni (from ""Cocktail"")","['Arif Lohar', 'Harshdeep Kaur']",2012-06-12,34
"Mein Sharabi (From ""Cocktail"")","['Imran Aziz', 'Yo Yo Honey Singh']",2012-06-12,34
Yaariyan (reprise),"['Sunidhi Chauhan', 'Arijit Singh']",2012-06-12,35
"Jabse Mere Dil Ko Uff (From ""Teri Meri Kahaani"")","['Sonu Nigam', 'Sunidhi Chauhan']",2012-05-17,20
Yeh Kasoor,['Sonu Kakkar'],2012-07-06,37
Saiyaara,"['Mohit Chauhan', 'Taraannum Mallik']",2012-07-16,51
Mashallah,"['Wajid', 'Shreya Ghoshal']",2012-07-16,43
Kyon,"['Pritam', 'Papon', 'Sunidhi Chauhan']",2012-06-24,52
Aashiyan,"['Pritam', 'Shreya Ghoshal', 'Nikhil Paul George']",2012-06-24,48
Phir Le Aya Dil,"['Pritam', 'Rekha Bhardwaj']",2012-06-24,48
Halkat Jawani,"['Salim Sulaiman', 'Sunidhi Chauhan']",2012-06-24,42
Main Heroine Hoon,"['Salim Sulaiman', 'Aditi Singh Sharma']",2012-06-24,26
Saaiyaan,"['Salim Sulaiman', 'Rahat Fateh Ali Khan']",2012-06-24,44
Go Go Govinda,"['Mika Singh', 'Shreya Ghoshal']",2012-08-24,31
"English Vinglish (From ""English Vinglish"")",['Shilpa Rao'],2012-09-04,23
Dhak Dhuk,['Amit Trivedi'],2012-09-04,28
Manhattan,"['Clinton Cerejo', 'Bianca Gomes']",2012-09-04,18
"Gustakh Dil (From ""English Vinglish)",['Shilpa Rao'],2012-09-04,26
Navrai Majhi,"['Sunidhi Chauhan', 'Swanand Kirkire', 'Neelambari Kirkire', 'Natali Di Luccio']",2012-09-04,40
Dreamum Wakeupum,['Sowmya Raoh'],2012-09-21,31
Sava Dollar (Lavni),['Sunidhi Chauhan'],2012-09-21,17
Aga Bai,"['Shalmali Kholgade', 'Monali Thakur']",2012-09-21,31
Mahek Bhi,['Shreya Ghoshal'],2012-09-21,19
What To Do,"['Sneha Khanwalkar', 'Amitabh Bhattacharya']",2012-09-21,15
Radha,"['Vishal-Shekhar', 'Shreya Ghoshal', 'Udit Narayan', 'Vishal Dadlani', 'Shekhar Ravjiani']",2012-08-31,52
Ishq Wala Love,"['Vishal-Shekhar', 'Salim Merchant', 'Neeti Mohan', 'Shekhar Ravjiani']",2012-08-31,58
The Disco Song,"['Vishal-Shekhar', 'Benny Dayal', 'Sunidhi Chauhan', 'Nazia Hassan']",2012-08-31,51
Kukkad,"['Vishal-Shekhar', 'Shahid Mallya', 'Nisha Mascarenhas', 'Marianne DCruz Aiman']",2012-08-31,45
Vele,"['Vishal-Shekhar', 'Vishal Dadlani', 'Shekhar Ravjiani']",2012-08-31,44
KikliKalerdi,"['Amit Trivedi', 'Pinky Maidasani', 'Yo Yo Honey Singh']",2012-06-24,33
Motorwada,"['Amit Trivedi', 'Tochi Raina']",2012-06-24,33
Challa,['Rabbi'],2012-10-09,45
Saans,"['Shreya Ghoshal', 'Mohit Chauhan']",2012-10-09,47
Ishq Shava,"['Raghav Mathur', 'Shilpa Rao']",2012-10-09,43
Heer,['Harshdeep Kaur'],2012-10-09,50
Jiya Re,"['Neeti Mohan', 'Safia Ashraf']",2012-10-09,47
Jab Tak Hai Jaan,"['Javed Ali', 'Shakthisree Gopalan']",2012-10-09,39
Saans Reprise,['Shreya Ghoshal'],2012-10-09,35
Ishq Dance,['A.R. Rahman'],2012-10-09,29
Jab Tak Hai Jaan - The Poem,['Shah Rukh Khan'],2012-10-09,38
Rani Tu Mein Raja,"['Mika Singh', 'Bhavya Pandit', 'Yo Yo Honey Singh']",2012-10-01,32
Muskaanein Jhooti Hai,['Suman Sridhar'],2012-10-18,37
Jee Le Zaraa,['Vishal Dadlani'],2012-10-18,52
Lonely,"['Himesh Reshammiya', 'Yo Yo Honey Singh', 'Hamsika Iyer']",2012-10-30,35
Long Drive,['Mika Singh'],2012-10-30,36
Hookah Bar,"['Himesh Reshammiya', 'Vineet Singh', 'Aman Trikha']",2012-10-30,57
Balma,"['Shriram', 'Shreya Ghoshal']",2012-10-30,48
Sari Sari Raat,['Himesh Reshammiya'],2012-10-30,35
Fevicol Se,"['Mamta Sharma', 'Wajid']",2012-11-17,46
Duaa,"['Nandini Srikar', 'Arijit Singh']",2012-05-04,46
Chaahat,"['Jeet Gannguli', 'Rahat Fateh Ali Khan']",2012-02-14,38
Mala Jau De,['Urmila Dhangar'],2012-05-15,18
