Song,Artists,Release Date,Popularity
Aaja Khatam Sabr,['Sunidhi Chauhan'],2011-11-16,10
Chikni Chameli,"['Ajay-Atul', 'Shreya Ghoshal']",2011-12-16,51
Gun Gun Guna,"['Ajay-Atul', 'Udit Narayan', 'Sunidhi Chauhan']",2011-12-16,40
Abhi Mujh Mein Kahin,"['Ajay-Atul', 'Sonu Nigam']",2011-12-16,56
Ek Main Aur Ekk Tu,"['Benny Dayal', 'Anushka Manchanda']",2011-12-29,36
Aunty Ji,"['Ash King', 'Neuman Pinto', 'Bianca Gomes']",2011-12-29,34
Aahatein,"['Karthik', 'Shilpa Rao']",2011-12-29,45
Sharminda Hoon,"['A.R. Rahman', 'Madhushree']",2012-01-04,25
Hosanna,"['A.R. Rahman', ""Leon D'souza"", ""Suzanne D'Mello""]",2012-01-04,44
Bipasha,"['Shraddha Pandit', 'Shadab Faridi']",2012-01-18,23
Aami Shotti Bolchi,"['Usha Uthup', 'Vishwesh Krishnamurthy']",2012-02-14,12
Chandni O Meri Chandni,"['Parichay', 'Sunidhi Chauhan']",2012-02-14,5
Kangna Tera Ni,['Lumber'],2012-02-14,28
I'll Do The Talking Tonight,"['Neeraj Shridhar', 'Aditi Singh Sharma', 'Shefali Alvares', 'Barbie Amod']",2012-02-24,34
Dil Mera Muft Ka,"['Nandini Srikar', 'Muazzam', 'Rizwan', 'Shadab Faridi', 'Altamash Faridi', 'Shabab Sabri']",2012-02-24,35
Papa Toh Band Bajaye,['Neeraj Shridhar'],2012-03-02,27
Right Now Now,"['Wajid', 'Sunidhi Chauhan', ""Suzanne D'Mello""]",2012-03-02,36
"Pani Da Rang Male (From ""Vicky Donor"")",['Ayushmann Khurrana'],2012-04-04,45
"Pani Da Rang Female (From ""Vicky Donor"")",['Sukanya Purkayastha'],2012-04-04,24
"Mar Jayian Romantic (From ""Vicky Donor"")","['Vishal Dadlani', 'Sunidhi Chauhan']",2012-04-04,36
Tu Hi Rab Tu Hi Dua,"['Rahat Fateh Ali Khan', 'Tulsi Kumar']",2012-04-16,29
Naina Re,"['Himesh Reshammiya', 'Rahat Fateh Ali Khan', 'Shreya Ghoshal']",2012-04-16,38
Ishq Mein Ruswaa,['Anweshaa'],2012-04-16,18
Ishaqzaade,"['Javed Ali', 'Shreya Ghoshal']",2012-04-12,41
Pareshaan,['Shalmali Kholgade'],2012-04-12,43
Jhalla Wallah,['Shreya Ghoshal'],2012-04-12,38
Aafaton Ke Parinde,"['Suraj Jagan', 'Divya Kumar']",2012-04-12,33
Chinta Ta Ta Chita Chita,"['Sajid-Wajid', 'Mika Singh', 'Wajid Khan']",2012-06-24,33
Aa Re Pritam Pyaare,"['Sajid-Wajid', 'Mamta Sharma', 'Sarosh Sami']",2012-06-24,33
