Song,Artists,Release Date,Popularity
Darling,"['Vishal Bhardwaj', 'Usha Uthup', 'Rekha Bhardwaj']",2011-01-21,37
Yeshu,"['Vishal Bhardwaj', 'Rekha Bhardwaj']",2011-01-21,12
Tinku Jiya,"['Mamta Sharma', 'Javed Ali']",2010-12-11,33
The Aftermath,['Gutavo Santaolalla'],2010-09-01,12
Laung Da Lashkara,"['Mahalakshmi Iyer', 'Hard Kaur', 'Jassi']",2011-01-07,46
Rola Pe Gaya,"['Mahalakshmi Iyer', 'Hard Kaur', 'Shankar Mahadevan', 'Earl', 'Master Saleem']",2011-01-07,33
Sadi Gali,['Lehmber Hussainpuri'],2011-02-02,53
Manu Bhaiya,"['Sunidhi Chauhan', 'Ujjaini Mukherjee', 'Niladri Debnath']",2011-02-02,19
Razia,"['Master Saleem', 'Ritu Pathak']",2011-03-03,29
Mit Jaaye Gham (Dum Maaro Dum),['Anushka Manchanda'],2011-03-15,38
Saibo,"['Sachin-Jigar', 'Shreya Ghoshal', 'Tochi Raina']",2011-03-28,58
Oye Oye,['Sunidhi Chauhan'],2011-05-30,23
Jalebi Bai,"['Ritu Pathak', 'Gorisha Gogoi']",2011-05-30,33
Main Chandigarh Di Star,['Sunidhi Chauhan'],2011-06-10,4
Aa Zara,['Sunidhi Chauhan'],2011-05-30,42
Khaabon Ke Parinday,"['Alyssa Mendonsa', 'Mohit Chauhan']",2011-06-06,55
Achha Lagta Hai,"['Shankar-Ehsaan-Loy', 'Mohit Chauhan', 'Shreya Ghoshal', 'Neuman Pinto']",2011-07-11,40
Teri Meri,"['Rahat Fateh Ali Khan', 'Shreya Ghoshal']",2011-07-27,54
Mere Brother Ki Dulhan,['KK'],2011-08-09,32
Dhunki,['Neha Bhasin'],2011-08-09,39
Choomantar,"['Aditi Singh Sharma', 'Benny Dayal']",2011-08-09,40
Isq Risk,['Rahat Fateh Ali Khan'],2011-08-09,40
Do Dhaari Talwaar,"['Shahid Mallya', 'Shweta Pandit']",2011-08-09,37
Sajh Dhaj Ke,"['Mika Singh', 'Pankaj Kapur']",2011-08-11,35
Mallo Malli,['Tochi Raina'],2011-08-11,17
Ne Aaja Veh (feat. H. Dhami),"['Veronica Mehta', 'H. Dhami']",2011-08-30,25
Pardaah Nasheen,"['Neeraj Shridhar', 'Sunidhi Chauhan']",2011-09-08,9
Tik Tuk,"['Daler Mehndi', 'Monali Thakur']",2011-09-08,14
Shake It Saiyyan,"['Sunidhi Chauhan', 'Haji Springer']",2011-09-08,14
Chhayee Hai Tanhayee,"['Shafqat Amanat Ali', 'Salim Merchant', 'Shruti Pathak']",2011-09-05,27
Chammak Challo,"['Akon', 'Hamsika Iyer']",2011-09-16,48
Bhare Naina,['Nandini Srikar'],2011-09-16,35
Someone Somebody,['Sunidhi Chauhan'],2011-10-07,0
Nazar Se Nazar Mile,"['Rahat Fateh Ali Khan', 'Anupama Raag']",2011-10-03,37
Phir Se Ud Chala,['Mohit Chauhan'],2011-10-01,57
Jo Bhi Main,['Mohit Chauhan'],2011-10-01,50
Katiya Karun,['Harshdeep Kaur'],2011-10-01,48
Kun Faya Kun,"['A.R. Rahman', 'Javed Ali', 'Mohit Chauhan']",2011-10-01,60
Sheher Mein,"['Mohit Chauhan', 'Karthik']",2011-10-01,43
Haawa Haawa,['Mohit Chauhan'],2011-10-01,44
Aur Ho,"['Mohit Chauhan', 'Alma Ferovic']",2011-10-01,47
Tango For Taj,['A.R. Rahman'],2011-10-01,37
Tum Ko,['Kavita Krishnamurthy'],2011-10-01,42
The Dichotomy Of Fame,['A.R. Rahman'],2011-10-01,41
Nadaan Parinde,"['A.R. Rahman', 'Mohit Chauhan']",2011-10-01,53
Tum Ho,"['Mohit Chauhan', ""Suzanne D'Mello""]",2011-10-01,57
Saadda Haq,['Mohit Chauhan'],2011-10-01,51
Meeting Place,['Ranbir Kapoor'],2011-10-01,38
Make Some Noise For The Desi Boyz,"['KK', 'Bob']",2011-10-21,48
Allah Maaf Kare,"['Sonu Nigam', 'Shilpa Rao']",2011-10-21,41
Subha Hone Na De,"['Mika Singh', 'Shefali Alvares']",2011-10-21,57
Jhak Maar Ke,"['Neeraj Shridhar', 'Harshdeep Kaur']",2011-10-21,46
Ooh La La,"['Bappi Lahiri', 'Shreya Ghoshal']",2011-10-29,35
Ishq Sufiyana (Female),['Sunidhi Chauhan'],2011-10-29,35
Honeymoon Ki Raat,['Sunidhi Chauhan'],2011-10-29,17
Twinkle Twinkle,"['Shreya Ghoshal', 'Rana Mazumder']",2011-10-29,13
Jazba,['Shilpa Rao'],2011-09-11,30
Thug Le,"['Vishal Dadlani', 'Shweta Pandit']",2011-09-11,42
Jigar Da Tukda,"['Salim Merchant', 'Shraddha Pandit']",2011-09-11,34
Fatal Attraction,['Salim Sulaiman'],2011-09-11,28
Jazba (Remix),"['Anushka Manchanda', 'Abhijit Vaghani']",2011-09-11,15
Dushman Mera,"['Sunitha Sarathy', 'Shankar Mahadevan']",2011-11-16,26
Character Dheela,"['Neeraj Shridhar', 'Amrita Kak']",2011-04-25,45
Bekaraan,['Vishal Bhardwaj'],2011-01-21,27
Awaara,"['Vishal Bhardwaj', 'Master Saleem']",2011-01-21,13
