Song,Artists,Release Date,Popularity
Ishq de Fanniyar - Female,['Jyotica Tangri'],2017-11-15,45
Aa Toh Sahi,"['Meet Bros.', 'Neha Kakkar', 'Roach Killa']",2017-09-12,45
Enna Sona,"['A.R. Rahman', 'Arijit Singh']",2017-01-04,62
Haareya,['Arijit Singh'],2017-04-25,42
Yaadon Mein,"['Pritam', 'Jonita Gandhi', 'Mohammed Irfan', 'Cuca Roseta']",2017-08-03,30
Ban Ja Rani,['Guru Randhawa'],2017-11-04,24
Kaabil Hoon,"['Jubin Nautiyal', 'Palak Muchhal']",2016-12-22,49
Radha,"['Pritam', 'Shahid Mallya', 'Sunidhi Chauhan']",2017-08-03,42
Ok Jaanu Title Track,"['A.R. Rahman', 'Srinidhi Venkatesh']",2017-01-04,46
Saajan Aayo Re,"['A.R. Rahman', 'Jonita Gandhi', 'Nakash Aziz']",2017-01-04,28
Dil Diyan Gallan (Unplugged),['Neha Bhasin'],2017-12-12,41
The Humma Song,"['A.R. Rahman', 'Badshah', 'Tanishk Bagchi', 'Shashaa Tirupati', 'Jubin Nautiyal']",2017-01-04,61
Mere Miyan Gaye England,['Rekha Bhardwaj'],2017-01-19,17
Bloody Hell,['Sunidhi Chauhan'],2017-01-19,17
Chori Chori,['Rekha Bhardwaj'],2017-01-19,6
Jee Lein,"['A.R. Rahman', 'Arjun Chandy', 'Neeti Mohan', 'Savithri R Prithvi']",2017-01-04,31
Kaabil Hoon (Sad Version),['Jubin Nautiyal'],2016-12-22,29
Kisi Se Pyar Ho Jaye,['Jubin Nautiyal'],2016-12-22,38
Humsafar,"['Akhil Sachdeva', 'Mansheel Gujral']",2017-02-14,59
Haseeno Ka Deewana,"['Raftaar', 'Payal Dev']",2016-12-22,45
Kuch Din,['Jubin Nautiyal'],2016-12-22,34
Udi Udi Jaye,"['Sukhwinder Singh', 'Bhoomi Trivedi', 'Karsan Sagathia']",2017-01-24,47
Zaalima,"['Arijit Singh', 'Harshdeep Kaur']",2017-01-24,58
Yeh Ishq Hai,['Arijit Singh'],2017-01-19,28
Move Your Lakk,"['Diljit Dosanjh', 'Badshah', 'Sonakshi Sinha']",2017-03-29,47
Yeh Ishq Hai (Female Version),['Rekha Bhardwaj'],2017-01-19,15
Gulabi 2.0,"['Amaal Mallik', 'Tulsi Kumar', 'Yash Narvekar']",2017-04-03,27
Maana Ke Hum Yaar Nahin,['Parineeti Chopra'],2017-04-25,57
Ek Dooni Do,['Rekha Bhardwaj'],2017-01-19,8
Khol De Baahein,['Monali Thakur'],2017-04-25,29
Ye Jawaani Teri,"['Nakash Aziz', 'Jonita Gandhi']",2017-04-25,31
Afeemi,"['Sanah Moidutty', 'Jigar Saraiya']",2017-04-25,40
Phir Bhi Tumko Chaahunga,"['Mithoon', 'Arijit Singh', 'Shashaa Tirupati']",2017-04-30,61
Tamma Tamma Again,"['Bappi Lahiri', 'Anuradha Paudwal', 'Badshah']",2017-02-14,51
Suit Suit,"['Guru Randhawa', 'Arjun']",2017-04-21,44
Oh Ho Ho Ho (Remix),"['Sukhbir', 'Ikka']",2017-04-21,51
Saat Rangon Se,['Rekha Bhardwaj'],2015,9
Badri Ki Dulhania (Title Track),"['Dev Negi', 'Neha Kakkar', 'Monali Thakur', 'Ikka']",2017-02-14,52
Roke Na Ruke Naina,['Arijit Singh'],2017-02-14,47
Baarish,"['Ash King', 'Shashaa Tirupati']",2017-04-30,59
Sahiba,"['Romy', 'Paawni Pandey']",2017-03-06,40
Ik Vaari Aa,['Arijit Singh'],2017-06-03,59
Lambiyaan Si Judaiyaan,"['Arijit Singh', 'Shadab', 'Altamash Faridi']",2017-06-03,35
Main Tera Boyfriend,"['Arijit Singh', 'Neha Kakkar', 'Meet Bros.']",2017-06-03,49
Zinda,['Sunidhi Chauhan'],2017-03-09,24
Rozana,['Shreya Ghoshal'],2017-03-09,32
Zubi Zubi,"['Sukriti Kakar', 'Rochak Kohli']",2017-03-09,21
Thodi Der,"['Farhan Saeed', 'Shreya Ghoshal']",2017-04-30,53
Radio,"['Pritam', 'Kamaal Khan', 'Amit Mishra']",2017-06-22,25
O Sona Tere Liye,"['A.R. Rahman', 'Shashaa Tirupati']",2017-06-27,17
Ullu Ka Pattha,"['Arijit Singh', 'Nikhita Gandhi']",2017-07-20,42
Sune Saaye,['Harshdeep Kaur'],2015,4
Kehne Ko,['Jonita Gandhi'],2015,6
Saat Rangon Se (acoustic),['Anupam Roy'],2015,5
Buri Buri,['Rashi Mal'],2015,2
Ik Vaari Aa (Jubin Version),['Jubin Nautiyal'],2017-06-03,41
Mere Rashke Qamar,"['Nusrat Fateh Ali Khan', 'Rahat Fateh Ali Khan']",2017-08-19,53
Beech Beech Mein,"['Pritam', 'Arijit Singh', 'Shalmali Kholgade', 'Shefali Alvares']",2017-08-03,35
Safar,"['Pritam', 'Arijit Singh']",2017-08-03,49
Hawayein,"['Pritam', 'Arijit Singh']",2017-08-03,59
Parinda,"['Pritam', 'Pardeep Sran']",2017-08-03,33
Ghar,"['Pritam', 'Nikhita Gandhi', 'Mohit Chauhan']",2017-08-03,39
Jee Ve Sohaneya,"['Pritam', 'Nooran Sisters']",2017-08-03,38
Piya More,"['Mika Singh', 'Neeti Mohan']",2017-08-19,32
Darasal,['Atif Aslam'],2017-06-03,35
Kooke Kawn,"['Sukhwinder Singh', 'Blaaze']",2017-06-27,6
Raakh Baakhi,"['Jonita Gandhi', 'Rianjali']",2017-06-27,8
Muafi Mushkil,['Darshana Kt'],2017-06-27,6
Musafir,['TUSHAR JOSHI'],2017-07-20,31
Ding Dang,"['Amit Mishra', 'Antara Mitra']",2017-06-21,33
Hawa Hawa,"['Mika Singh', 'Prakriti Kakar']",2017-07-06,41
Raula,"['Pritam', 'Diljit Dosanjh', 'Neeti Mohan']",2017-08-03,35
Phurrr - Film Version,"['Pritam', 'Diplo', 'Mohit Chauhan', 'TUSHAR JOSHI']",2017-08-03,36
Sweety Tera Drama,"['Dev Negi', 'Rap by Pravesh Mallick', 'Shraddha Pandit', 'Paawni Pandey']",2017-08-17,49
Nazm Nazm,['Arko'],2017-08-17,60
Twist Kamariya,"['Harshdeep Kaur', 'Yasser Desai', 'Altamash', 'Tanishk']",2017-08-17,34
Disco Disco,"['Benny Dayal', 'Shirley Setia']",2017-08-17,29
"Bandook Meri Laila (feat. Raftaar, Sidharth Malhotra)","['Ash King', 'Jigar Saraiya', 'Raftaar', 'Sidharth Malhotra']",2017-08-17,49
Laagi Na Choote,"['Arijit Singh', 'Shreya Ghoshal']",2017-08-17,37
Chandralekha,"['Vishal Dadlani', 'Jonita Gandhi']",2017-08-17,31
Socha Hai,"['Jubin Nautiyal', 'Neeti Mohan']",2017-08-19,36
Will You Marry Me,"['Divya Kumar', 'Jonita Gandhi']",2017-08-28,20
"Kanha (From ""Shubh Mangal Saavdhan"")",['Shashaa Tirupati'],2017-09-05,15
Sapne Re,['Meghna Mishra'],2017-10-18,32
Chalti Hai Kya 9 Se 12,"['Dev Negi', 'Neha Kakkar']",2017-09-12,37
Main Kaun Hoon,['Meghna Mishra'],2017-10-18,36
Lift Teri Bandh Hai,"['Anu Malik', 'Neha Kakkar']",2017-09-12,33
Rocket Saiyyan,"['Ritu Pathak', 'Brijesh Shandilya', 'Tanishk Bagchi']",2017-09-05,12
Lagdi Hai Thaai,"['Guru Randhawa', 'Jonita Gandhi']",2017-08-25,19
Pinjra Tod Ke,['Sunidhi Chauhan'],2017-08-25,17
Single Rehne De,"['Shalmali Kholgade', 'Divya Kumar']",2017-08-25,17
Simran,['Jigar Saraiya'],2017-08-25,12
Meet,['Arijit Singh'],2017-08-25,36
Trippy Trippy,"['Neha Kakkar', 'Benny Dayal', 'Brijesh Shandilya', 'Badshah']",2017-08-28,12
