Song,Artists,Release Date,Popularity
Gaaye Jaa - Female,"['Ajay-Atul', 'Shreya Ghoshal']",2015-07-24,32
Mera Naam Mary,"['Ajay-Atul', 'Chinmayi']",2015-07-24,24
Baaton Ko Teri,['Arijit Singh'],2015-07-20,38
Mere Humsafar,"['Mithoon', 'Tulsi Kumar']",2015-07-20,37
Nachan Farrate,"['Meet Bros.', 'Kanika Kapoor']",2015-07-20,32
Afghan Jalebi (Ya Baba),"['Asrar', 'Akhtar Channal']",2015-07-31,37
Main Hoon Hero Tera (Armaan Malik Version),['Armaan Malik'],2015-08-14,37
Dance Ke Legend,"['Meet Bros.', 'Bhoomi Trivedi']",2015-08-14,32
Sarfira,"['Neeti Mohan', 'Siddharth Mahadevan', 'Qaran Mehta']",2018-09-26,28
Ove Janiya,['Mohan Kannan'],2018-09-26,24
Daddy Mummy,"['Devi Sri Prasad', 'M. M. Manasi']",2015-08-24,32
Aankhon Aankhon,['Yo Yo Honey Singh'],2015-08-24,39
Mahi Aaja,"['Manj Musik', 'Sasha']",2018-09-26,33
Mahi Aaja Unplugged Ft. Arijit,"['Arijit Singh', 'Manj Musik']",2018-09-26,32
Mahi Aaja (Remix),"['Manj Musik', 'Sasha']",2018-09-26,16
Bandeyaa,['Jubin'],2018-10-04,31
Shaam Shaandaar,['Amit Trivedi'],2015-10-22,42
Gulaabo,"['Vishal Dadlani', 'ANUSHA MANI']",2015-10-22,43
Nazdeekiyaan,"['Nikhil Paul George', 'Neeti Mohan']",2015-10-22,36
Prem Ratan Dhan Payo,['Palak Muchhal'],2015-10-10,42
Matargashti,['Mohit Chauhan'],2015-10-16,52
Agar Tum Saath Ho,"['Alka Yagnik', 'Arijit Singh']",2015-10-16,61
Chali Kahani,"['Sukhwinder Singh', 'Haricharan', 'Haripriya']",2015-10-16,36
Safarnama,['Lucky Ali'],2015-10-16,55
Parade De La Bastille,['A.R. Rahman'],2015-10-16,33
"Wat Wat (Vengeance Mix)[Remix By Pravin Mani,Hari Dafusia]",['Shashwat Singh'],2015-10-16,27
Tu Koi Aur Hai,"['A.R. Rahman', 'Alma Ferovic', 'Arjun Chandy']",2015-10-16,38
Tumhe Apna Banane Ka,"['Armaan Malik', 'Neeti Mohan']",2015-11-04,36
Wajah Tum Ho,['Armaan Malik'],2015-11-04,46
"Aayat (From ""Bajirao Mastani)","['Arijit Singh', 'Mujtaba Aziz Naza', 'Shadab', 'Altamash Faridi', 'Farhan Sabri']",2015-11-25,43
"Malhari (From ""Bajirao Mastani"")",['Vishal Dadlani'],2015-11-25,49
"Mohe Rang Do Laal (From ""Bajirao Mastani"")","['Shreya Ghoshal', 'Birju Maharaj']",2015-11-25,40
"Albela Sajan (From ""Bajirao Mastani"")","['Shashi Suman', 'Kunal Pandit', 'Prithvi Gandharva', 'Kanika Joshi', 'Rashi Raagga', 'Geetikka Manjrekar']",2015-11-25,33
"Ab Tohe Jane Na Doongi (From ""Bajirao Mastani"")","['Payal Dev', 'Shreyas Puranik']",2015-11-25,29
"Pinga (From ""Bajirao Mastani"")","['Shreya Ghoshal', 'Vaishali Made']",2015-11-25,41
"Aaj Ibaadat (From ""Bajirao Mastani"")","['Javed Bashir', 'Shadab Faridi', 'Altamash Faridi', 'Shashi Suman', 'Shreyas Puranik']",2015-11-25,35
"Fitoori (From ""Bajirao Mastani"")","['Vaishali Made', 'Ganesh Chandanshive', 'Aishwarya Bhandari', 'Geetikka Manjrekar', 'Kanika Joshi', 'Mayur Sakhare', 'Shreyas Puranik', 'Maneesh Singh', 'Vivek Naik', 'Devendra Chitnis']",2015-11-25,28
Gerua,"['Arijit Singh', 'Antara Mitra']",2015-11-17,51
Manma Emotion Jaage,"['Amit Mishra', 'Anushka Manchanda', 'Antara Mitra']",2015-11-17,41
Janam Janam,"['Arijit Singh', 'Antara Mitra']",2015-11-17,56
Daayre,['Arijit Singh'],2015-11-17,48
Premika,"['Benny Dayal', 'Kanika Kapoor']",2015-11-17,35
