Song,Artists,Release Date,Popularity
"Deewani Mastani (From ""Bajirao Mastani"")","['Shreya Ghoshal', 'Ganesh Chandanshive', 'Mujtaba Aziz Naza', 'Shadab Faridi', 'Altamash Faridi', 'Farhan Sabri']",2015-11-25,49
"Judaai (From ""Badlapur)","['Rekha Bhardwaj', 'Arijit Singh']",2015-02-11,39
Sapna Jahan,"['Ajay-Atul', 'Sonu Nigam', 'Neeti Mohan']",2015-07-24,37
"Jee Karda (From ""Badlapur)",['Divya Kumar'],2015-02-11,26
Heer Toh Badi Sad Hai,['Mika Singh'],2015-10-16,41
Ghani Bawri Remix,['Jyoti Noora'],2015-04-30,11
Sun Saathiya,"['Priya Saraiya', 'Divya Kumar']",2018-08-24,53
"Jeena Jeena (From ""Badlapur"")",['Atif Aslam'],2015-02-11,37
Touch My Body,['Aditi Singh Sharma'],2015-01-03,21
Katra Katra,"['Ankit Tiwari', 'Prakriti Kakar']",2015-01-03,40
"Radha Nachegi (From ""Tevar"")","['Ritu Pathak', 'Shabab Sabri', 'Danish Sabri']",2014-12-09,16
Moh Moh Ke Dhaage (Female),['Monali Thakur'],2015-02-09,48
Dard Karaara,"['Kumar Sanu', 'Sadhana Sargam']",2015-02-09,33
Tu,['Kumar Sanu'],2015-02-09,21
"Joganiyan (From ""Tevar"")",['Shruti Haasan'],2014-12-09,17
Phatte Tak Nachna,['Sunidhi Chauhan'],2015-01-02,25
"Ghani Bawri (From ""Tanu Weds Manu Returns"")",['Jyoti Noora'],2015-04-30,35
Sooraj Dooba Hain,"['Arijit Singh', 'Aditi Singh Sharma']",2015-01-09,56
Chittiyaan Kalaiyaan,"['Meet Bros Anjjan', 'Kanika Kapoor']",2015-01-09,51
Tu Hai Ki Nahi,['Ankit Tiwari'],2015-01-09,56
Badla Badla,"['Vishal Dadlani', 'Jasleen Royal', 'Suraj Jagan', 'Priya Saraiya']",2015-02-11,14
Chhil Gaye Naina,"['Kanika Kapoor', 'Dipanshu Pandit']",2015-02-17,7
Le Chal Mujhe (Female),['Shilpa Rao'],2015-02-17,2
Desi Look,['Kanika Kapoor'],2015-03-10,33
Saiyaan Superstar,['Tulsi Kumar'],2015-03-10,35
Teri Meri Kahaani,"['Arijit Singh', 'Palak Muchhal']",2018-08-13,50
Piku,['Sunidhi Chauhan'],2018-08-13,31
Lamhe Guzar Gaye,['Anupam Roy'],2018-08-13,37
"Banno (From ""Tannu Weds Manu Returns"")","['Brijesh Shandilya', 'Swati Sharma']",2015-04-30,39
Hamari Adhuri Kahani (Title Track),"['Jeet Gannguli', 'Arijit Singh']",2015-05-21,54
"Mat Ja Re (From ""Tanu Weds Manu Returns)",['Ankit Tiwari'],2015-04-30,24
"Move On (From ""Tanu Weds Manu Returns"")",['Sunidhi Chauhan'],2015-04-30,12
Gallan Goodiyaan,"['Yashita Sharma', 'Manish Kumar Tipu', 'Farhan Akhtar', 'Shankar Mahadevan', 'Sukhwinder Singh']",2015-05-02,55
Girls Like To Swing,['Sunidhi Chauhan'],2015-05-02,41
Dil Dhadakne Do,"['Priyanka Chopra', 'Farhan Akhtar']",2015-05-02,36
Pehli Baar,"['Sukriti Kakar', 'Siddharth Mahadevan']",2015-05-02,43
Hasi - Female Version,"['Ami Mishra', 'Shreya Ghoshal']",2015-05-21,55
Humnava,"['Mithoon', 'Papon']",2015-05-21,48
Yeh Kaisi Jagah,"['Jeet Gannguli', 'Deepali Sathe']",2015-05-21,37
Channa,['Sunidhi Chauhan'],2017-10-05,12
Gud Naal Ishq Mitha,['Tochi Raina'],2013-03-20,22
Judaai,['Falak Shabbir'],2013-03-20,21
