Song,Artists,Release Date,Popularity
Yeh Hum Aa Gaye Hain Kahaan,"['Lata Mangeshkar', 'Udit Narayan']",2004-09-18,39
Aisa Des Hai Mera,"['Lata Mangeshkar', 'Udit Narayan', 'Gurdas Maan', 'Pritha Majumder']",2004-09-18,42
Hum To Bhai Jaise Hain,['Lata Mangeshkar'],2004-09-18,34
Tere Liye,"['Lata Mangeshkar', 'Roop Kumar Rathod']",2004-09-18,52
Main Yahaan Hoon,['Udit Narayan'],2004-09-18,54
Do Pal,"['Lata Mangeshkar', 'Sonu Nigam']",2004-09-18,50
Kyon Hawa,"['Yash Chopra', 'Lata Mangeshkar', 'Sonu Nigam']",2004-09-18,36
Aaya Tere Dar Par,"['Ahmed Hussain', 'Mohd. Hussain', 'Mohd Vakil', 'Javed Hussain']",2004-09-18,37
Lodi,"['Lata Mangeshkar', 'Udit Narayan', 'Gurdas Maan']",2004-09-18,35
Tum Paas Aa Rahe Ho,"['Lata Mangeshkar', 'Jagjit Singh']",2004-09-18,30
Jaane Kyon,['Lata Mangeshkar'],2004-09-18,29
Saanwariya Saanwariya,['Alka Yagnik'],2004-09-24,33
Aahista Aahista,"['Udit Narayan', 'Sadhana Sargam']",2004-09-24,38
Dekho Na,"['Alka Yagnik', 'Udit Narayan']",2004-09-24,32
Pal Pal Hai Bhaari,"['Madhushree', 'Vijay Prakash', 'Ashutosh Gowariker']",2004-09-24,34
Khuda Hafiz Anjaani Anjaana,"['Sunitha Sarathy', 'Lucky Ali', 'Karthik']",2004-03-18,27
Kabhi Neem Neem,"['Madhushree', 'A.R. Rahman']",2004-03-18,25
Baadal,"['Adnan Sami', 'Alka Yagnik']",2004-03-18,24
Fanaa,"['A.R. Rahman', 'Sunitha', 'Tanvi Shah']",2004-03-18,32
Rab Kare,"['Udit Narayan', 'Alka Yagnik']",2004-05-31,36
Mujhse Shaadi Karogi,"['Sonu Nigam', 'Udit Narayan', 'Sunidhi Chauhan']",2004-05-31,42
Tumse Milke Dil Ka,"['Sonu Nigam', 'Sabri Brothers']",2004-02-27,50
Dil Dooba,"['Sonu Nigam', 'Shreya Ghoshal']",2003-10-17,43
Wada Raha,"['Arnab Chakraborty', 'Shreya Ghoshal']",2003-10-17,35
Aisa Jadoo,['Sunidhi Chauhan'],2003-10-17,30
U-N-I (Mere Dil Vich Hai Hum Tum),"['Veronica Mehta', 'Juggy D.']",2004-04-09,36
Ladki Kyon,"['Alka Yagnik', 'Shaan']",2004-04-09,41
Hum Tum,"['Alka Yagnik', 'Babul Supriyo']",2004-04-09,48
Sajna Ve Sajna,['Sunidhi Chauhan'],2003-11-22,35
Bhage Re Mann,['Sunidhi Chauhan'],2003-11-22,39
Jane Kyun Humko (Version 1),"['Udit Narayan', 'Sunidhi Chauhan']",2003-11-22,14
Yeh Lamha,['Sunidhi Chauhan'],2003-11-22,11
Rang Deeni,"['Kailash Kher', 'Mahua Kamat', 'Shraddha Pandit']",2013-02-15,4
Ek Haseena Thi,"['Himesh Reshammiya', 'Shreya Ghoshal']",2008-08-27,31
Agar Main Kahoon,"['Shankar-Ehsaan-Loy', 'Alka Yagnik', 'Udit Narayan']",2004-04-26,38
Dil De Diya Hai,['Anand Raj Anand'],2004-03-05,45
Rang Hai,"['A.R. Rahman', 'Alka Yagnik']",2004-01-03,9
Dhuan Dhuan,"['A.R. Rahman', 'Asha Bhosle']",2004-01-03,7
Kaho Na Kaho,['Amir Jamal'],2004-12-30,40
