Song,Artists,Release Date,Popularity
Silsila Ye Chahat Ka - Devdas / Soundtrack Version,['Shreya Ghoshal'],2002-01-01,38
Maar Daala - Devdas / Soundtrack Version,"['Kavita Krishnamurthy', 'KK']",2002-01-01,37
Bairi Piya - Devdas / Soundtrack Version,"['Udit Narayan', 'Shreya Ghoshal']",2002-01-01,32
Kaahe Chhed - Devdas / Soundtrack Version,"['Birju Maharaj', 'Kavita Krishnamurthy', 'Madhuri Dixit']",2002-01-01,31
Chalak Chalak - Devdas / Soundtrack Version,"['Udit Narayan', 'Vinod Rathod', 'Shreya Ghoshal']",2002-01-01,32
Hamesha Tumko Chaha - Devdas / Soundtrack Version,"['Kavita Krishnamurthy', 'Udit Narayan']",2002-01-01,32
Woh Chand Jaisi Ladki - Devdas / Soundtrack Version,['Udit Narayan'],2002-01-01,25
Morey Piya - Devdas / Soundtrack Version,"['Jaspinder Narula', 'Shreya Ghoshal']",2002-01-01,28
Dev's Last Journey - The Theme - Devdas / Soundtrack Version,"['Raghab Chatterjee', 'Supriya Adhikari', 'Rashmi Sharma']",2002-01-01,25
Dola Re Dola - Devdas / Soundtrack Version,"['Kavita Krishnamurthy', 'Shreya Ghoshal', 'KK']",2002-01-01,39
Title Music,['Ismail Darbar'],2002-01-01,25
Devdas And Paro's Fateful Meeting ... Dev's Confrontation With Father ... Dev Meets Chunnibabu ... Chunnibabu Initiates Dev To Chandramukhi's Kotha,"['Shah Rukh Khan', 'Aishwarya Rai Bachchan', 'Jackie Shroff', 'Vijay Crishna', 'Ananya Khare', 'Tiku Talsania', 'Smita Jaykar']",2002-01-01,9
Song: Dola Re,"['Kavita Krishnamurthy', 'Shreya Ghoshal', 'KK']",2002-01-01,45
Dialogue: Paro Meets Chandramukhi ... Invites Her For Durga Pooja,"['Madhuri Dixit', 'Aishwarya Rai Bachchan']",2002-01-01,7
"Dev Is Seriously Ill, Leaves Chandramukhi's House ... Last Journey To Meet Paro","['Various Artists', 'Shah Rukh Khan', 'Madhuri Dixit', 'Aishwarya Rai Bachchan', 'Jackie Shroff', 'Heera Singh', 'Smita Jaykar', 'Vijay Crishna', 'Kiron Kher', 'Vijayendra Ghatge', 'Raja Kapse']",2002-01-01,9
Hum Tumhare Hain Sanam,"['Anuradha Paudwal', 'Udit Narayan']",2002-01-19,35
Sab Kuchh Bhula Diya,"['Sonu Nigam', 'Sapna Awasthi']",2002-01-19,28
Maahi Ve,"['Sukhwinder Singh', 'Richa Sharma']",2002-06-28,31
Ishq Samundar,"['Sunidhi Chauhan', 'Anand Raj Anand']",2002-06-28,28
Andekhi Anjaani,"['Lata Mangeshkar', 'Udit Narayan']",2002-06-12,41
Jaane Dil Mein,"['Lata Mangeshkar', 'Sonu Nigam']",2002-06-12,39
Saanwali Si Ek Ladki,['Udit Narayan'],2002-06-12,37
Oh My Darling,"['Alisha Chinai', 'Sonu Nigam']",2002-06-12,39
Mujhse Dosti Karoge,"['Asha Bhosle', 'Alka Yagnik', 'Udit Narayan']",2002-06-12,41
The Medley,"['Lata Mangeshkar', 'Pamela Chopra', 'Sonu Nigam', 'Udit Narayan']",2002-06-12,28
Terrific Tina (Instrumental),['Rahul Sharma'],2002-06-12,24
Ek Ladki,"['Udit Narayan', 'Alka Yagnik']",2002-05-09,21
Sharara,['Asha Bhosle'],2002-05-09,33
Mere Yaar Ki Shaadi Hai,"['Udit Narayan', 'Sonu Nigam', 'Alka Yagnik']",2002-05-09,27
Jaage Jaage,"['Sonu Nigam', 'Udit Narayan', 'Alka Yagnik']",2002-05-09,22
Humne Suna Hai,"['Udit Narayan', 'Alka Yagnik', 'Sudesh Bhosle', 'Jaspinder Narula']",2002-05-09,17
Hum Dono Jaisa,"['KK', 'Sunidhi Chauhan']",2002-05-09,15
Saathiya,['Sonu Nigam'],2002-10-18,35
Aye Udi Udi Udi,['Adnan Sami'],2002-10-18,33
Chhalka Chhalka Re,"['Richa Sharma', 'Mahalakshmi Iyer', 'Vaishali', 'Shoma']",2002-10-18,28
Chupke Se,"['Sadhana Sargam', 'Murtuza', 'Qadir']",2002-10-18,31
O Humdum Suniyo Re,"['KK', 'Shaan', 'Kunal', 'Pravin Mani']",2002-10-18,33
Mera Yaar Mila De,['A.R. Rahman'],2002-10-18,20
Naina Milaike,"['Sadhana Sargam', 'Madhushree']",2002-10-18,20
Chori Pe Chori,"['Asha Bhosle', 'Karthik']",2002-10-18,19
Tune Zindagi Mein (Male Version),['Udit Narayan'],2002-05-06,33
Tune Zindagi Mein (Female Version),['Alka Yagnik'],2002-05-06,21
Life Ban Jaayegi,"['Sonu Nigam', 'Jaspinder Narula']",2002-05-06,16
Jise Hasna Rona Hai,"['Sonu Nigam', 'Alka Yagnik', 'Shaan', 'Udit Narayan', 'Sarika Kapoor', 'Sunidhi Chauhan']",2002-12-01,17
Aap Mujhe Achche Lagne Lage - Aap Mujhe Achche Lagne Lage / Soundtrack Version,"['Alka Yagnik', 'Abhijeet']",2004-01-01,32
Jogan Jogan - Badhaai Ho Badhaai / Soundtrack Version,"['Preeti- Pinky', 'Kunal']",2002-01-01,3
Ishqan Ishqan Ho Gayi,"['Adnan Sami', 'Sunidhi Chauhan']",2002-07-13,3
Yeh Lamha Jee Lene De,['Asha Bhosle'],2002-02-01,5
Yeh Kya Ho Raha Hai,"['Alka Yagnik', 'Sonu Nigam', 'Anu Malik']",2002-03-02,7
Jeena Sirf Mere Liye,"['Alka Yagnik', 'Kavita Krishnamurthy', 'Babul Supriyo']",2001-03-01,20
Deewano Ko Pata Hai,"['Jatin-Lalit', 'Udit Narayan', 'Sadhana Sargam']",2002-04-01,25
Chori Chori - Duet,"['Sonu Nigam', 'Alka Yagnik']",2002-12-31,12
"Bindiya Chamke, Choodi Khanke","['Alka Yagnik', 'Sonu Nigam']",2001-12-21,26
Kyon Khanke Teri Choodi,"['Alka Yagnik', 'Kamaal Khan']",2001-12-21,18
