Song,Artists,Release Date,Popularity
Mehndi Hai Rachnewali,"['A.R. Rahman', 'Alka Yagnik']",2000-09-08,45
Dheeme Dheeme,"['A.R. Rahman', 'Kavita Krishnamurthy']",2000-09-08,30
Main Albeli,"['A.R. Rahman', 'Kavita Krishnamurthy', 'Sukhwinder Singh']",2000-09-08,26
So Gaye Hain,"['A.R. Rahman', 'Lata Mangeshkar']",2000-09-08,20
Hai Na,"['A.R. Rahman', 'Udit Narayan', 'Alka Yagnik']",2000-09-08,19
Chhodo More Baiyyan,"['A.R. Rahman', 'Richa Sharma']",2000-09-08,13
Pyaara Sa Gaon,"['A.R. Rahman', 'Lata Mangeshkar']",2000-09-08,16
Badi Mushkil - Lajja / Soundtrack Version,['Alka Yagnik'],2001-01-01,34
Aa Hi Jaiye - Lajja / Soundtrack Version,['Anuradha Sriram'],2001-01-01,16
Sajan Ke Ghar Jana Hain - Lajja / Soundtrack Version,"['Alka Yagnik', 'Richa Sharma', 'Sonu Nigam']",2001-01-01,19
"Kaun Dagar - From ""Lajja""",['Lata Mangeshkar'],2001-01-01,2
Kaliyug Ki Sita - Lajja / Soundtrack Version,['Anuradha Paudwal'],2001-01-01,2
Kaliyug Ki Sita - Lajja / Soundtrack Version,['Shubha Mudgal'],2001-01-01,3
Kabhi Khushi Kabhie Gham,"['Jatin-Lalit', 'Lata Mangeshkar']",2001-11-28,52
Bole Chudiyan,"['Jatin-Lalit', 'Amit Kumar', 'Sonu Nigam', 'Alka Yagnik', 'Udit Narayan', 'Kavita Krishnamurthy']",2001-11-28,58
You Are My Soniya,"['Sandesh Shandilya', 'Sonu Nigam', 'Alka Yagnik']",2001-11-28,49
"Say ""Shava Shava""","['Aadesh Shrivastava', 'Sudesh Bhosle', 'Alka Yagnik', 'Sunidhi Chauhan', 'Amitabh Bachchan', 'Udit Narayan']",2001-11-28,50
Yeh Ladka Hai Allah,"['Jatin-Lalit', 'Udit Narayan', 'Alka Yagnik']",2001-11-28,54
"Kabhi Khushi Kabhie Gham - Sad Version, 2","['Jatin-Lalit', 'Lata Mangeshkar']",2001-11-28,41
Deewana Hai Dekho,"['Sandesh Shandilya', 'Alka Yagnik', 'Sonu Nigam', 'Kareena Kapoor']",2001-11-28,46
Radha Kaise Na Jale,"['A.R. Rahman', 'Asha Bhosle', 'Udit Narayan', 'Vaishali Samant']",2001-04-03,48
O Rey Chhori,"['A.R. Rahman', 'Udit Narayan', 'Alka Yagnik', 'Vasundhara Das']",2001-04-03,42
O Paalanhaare,"['A.R. Rahman', 'Lata Mangeshkar', 'Udit Narayan']",2001-04-03,47
Dil Chahta Hai,['Shankar Mahadevan'],2001-06-22,50
Jaane Kyon Log Pyar,"['Udit Narayan', 'Alka Yagnik']",2001-06-22,45
Woh Ladki Hai Kahan,"['Shaan', 'Kavita Krishnamurthy']",2001-06-22,48
Koi Kahe Kehta Rahe,"['Shankar Mahadevan', 'Shaan', 'KK']",2001-06-22,46
Tanhayee,['Sonu Nigam'],2001-06-22,39
Hum Juda Ho Gaye,"['Udit Narayan', 'Preeti Uttam Singh']",2001-06-15,17
Main Nikla Gaddi Leke,['Udit Narayan'],2001-06-15,32
Deewane - Indian/Soundtrack Version,"['Shaan', 'Alka Yagnik']",2001-01-01,2
Chori Chori Chupke Chupke - Chori Chori Chupke Chupke / Soundtrack Version,"['Alka Yagnik', 'Babul Supriyo']",2000-01-01,41
Dekhne Walon Ne - Chori Chori Chupke Chupke / Soundtrack Version,"['Udit Narayan', 'Alka Yagnik']",2000-01-01,32
Diwani Diwani - Chori chori Chupke Chupke / Soundtrack Version,"['Anu Malik', 'Anaida']",2000-01-01,21
Mehandi Mehandi - Chori Chori Chupke Chupke / Soundtrack Version,['Jaspinder Narula'],2000-01-01,22
San Sanana,"['Anu Malik', 'Alka Yagnik', 'Hema Sardesai']",2001-09-20,41
Raat Ka Nasha,"['Anu Malik', 'K. S. Chithra']",2001-09-20,40
Roshni Se,"['Anu Malik', 'Alka Yagnik', 'Abhijeet']",2001-09-20,36
Aa Tayar Hoja,"['Anu Malik', 'Sunidhi Chauhan']",2001-09-20,28
Hum Ho Gaye Aap Ke,"['Kumar Sanu', 'Alka Yagnik']",2001-05-14,14
Pehli Baar Dil Ye,"['Kumar Sanu', 'Alka Yagnik']",2001-05-14,18
Kitni Bechain Hoke,"['Alka Yagnik', 'Udit Narayan']",2000-08-25,29
Zindagi Ban Gaye Ho Tum,"['Alka Yagnik', 'Udit Narayan']",2000-08-25,27
Love Ke Liye,"['Udit Narayan', 'Sunidhi Chauhan']",2001-05-21,8
Rama Rama,"['Asha Bhosle', 'Sonu Nigam']",2001-05-21,7
Jaan Leva,"['Sukhwinder Singh', 'Kavita Krishnamurthy']",2001-09-09,10
Jaan Leva - Remix Version,"['Sukhwinder Singh', 'Kavita Krishnamurthy']",2001-09-09,4
