Song,Artists,Release Date,Popularity
"Pyar Ishq Aur Mohabbat (From ""Pyaar Ishq Aur Mohabbat"")","['Udit Narayan', 'Alka Yagnik & Arvind Hasabnish', 'Alka Yagnik']",2013-10-18,14
"Khamoshiyan Gangunane Lagi, Pt. 1","['Lata Mangeshkar', 'Sonu Nigam']",2001-12-31,30
Sona Nahi Na Sahi,"['Alka Yagnik', 'Udit Narayan']",2001-12-31,23
Osaka Muraiya,"['Sonu Nigam', 'Raageshwari']",2001-12-31,15
Haye Dil Ka Bazi Laga,"['Alka Yagnik', 'Sonu Nigam']",2001-12-31,15
Chalo Chale Mitwa,"['Udit Narayan', 'Kavita Krishnamurthy']",2001-07-06,20
Shakalaka Baby,"['Vasundhara Das', 'Shiraz Uppal', 'Pravin Mani']",2001-07-06,20
Kambakth Ishq,"['Asha Bhosle', 'Sukhwinder Singh', 'Sonu Nigam']",2001-02-24,13
Pyaar Tune,"['Sonu Nigam', 'Alka Yagnik']",2001-02-24,15
Chhoti Chhoti Raatein,"['Sonu Nigam', 'Anuradha Paudwal']",2001-05-02,29
Tumhare Siva,"['Anuradha Paudwal', 'Udit Narayan']",2001-05-02,34
Koi Fariyaad,['Jagjit Singh'],2001-05-02,35
Rehnaa Hai Tere Dil Mein,"['Sonu Nigam', 'Kavita Krishnamurthy']",2001-12-01,27
Raat Ka Nasha,"['Anu Malik', 'Abhijeet', 'K. S. Chithra']",2001-09-20,30
Rabba Rabba - Duet,"['Vasundhara Das', 'Sukhwinder Singh']",2001-04-16,7
Ek Ladki Chahiye,"['Sonu Nigam', 'Jaspinder Narula']",2001-08-03,31
