Song,Artists,Release Date,Popularity
Maahi Ve,"['Shankar-Ehsaan-Loy', 'Sadhana Sargam', 'Sujata Bhattacharya', 'Udit Narayan', 'Sonu Nigam']",2003-09-20,57
Kuch To Hua Hai,"['Shankar-Ehsaan-Loy', 'Alka Yagnik', 'Shaan']",2003-09-20,48
Pretty Woman,"['Shankar-Ehsaan-Loy', 'Shankar Mahadevan', 'Ravi ""Rags"" Khote']",2003-09-20,51
It's the Time to Disco,"['Shankar-Ehsaan-Loy', 'Vasundhara Das', 'KK', 'Shaan', 'Loy Mendonsa']",2003-09-20,53
Kal Ho Naa Ho,"['Shankar-Ehsaan-Loy', 'Sonu Nigam']",2003-09-20,60
Kal Ho Naa Ho - Sad,"['Shankar-Ehsaan-Loy', 'Alka Yagnik', 'Richa Sharma', 'Sonu Nigam']",2003-09-20,48
Heartbeat - Instrumental,['Shankar-Ehsaan-Loy'],2003-09-20,44
Allah Kare Dil Na Lage,"['Sonu Nigam', 'Alka Yagnik']",1998-01-01,12
Tauba Tumhare Ishare,"['Abhijeet', 'Alka Yagnik']",2003-05-03,45
Pehle Kabhi Na Mera Haal,"['Udit Narayan', 'Alka Yagnik']",2003-08-23,30
Chali Chali Phir,"['Aadesh Shrivastava', 'Hema Sardesai']",2003-08-23,21
Main Yahan Tu Wahan,"['Amitabh Bachchan', 'Alka Yagnik']",2003-08-23,32
Meri Makhna Meri Soniye,"['Sudesh Bhosle', 'Alka Yagnik']",2003-08-23,26
Mere Dil Ka Tumse,['K. S. Chithra'],2003-03-22,14
Pyar Hone Laga Hai,"['Sonu Nigam', 'Alka Yagnik']",2003-07-19,18
Deewani Hoon Deewani Hoon,"['Sonu Nigam', 'Jaspinder Narula', 'Gauri Bapat']",2003-07-19,11
Jaadu Hai Nasha,"['Shreya Ghoshal', 'Shaan']",2002-12-01,36
"Chalo Tumko Lekar, Pt. 1",['Shreya Ghoshal'],2002-12-01,20
Mere Khwabon Ka,['Udit Narayan'],2002-12-01,9
Achchi Lagti Ho,"['Udit Narayan', 'Kavita Krishnamurthy']",2003-12-31,38
Bani Bani,['K. S. Chithra'],2003,35
Chali Aayee,"['K. S. Chithra', 'KK']",2003,30
Papa Ki Pari,"['Sunidhi Chauhan', 'Kareena Kapoor']",2003,23
Bhatke Panchhi,['K. S. Chithra'],2003,17
O Sathiya,"['Udit Narayan', 'Alka Yagnik']",2003-05-23,23
Aye Meri Zindagi,['Udit Narayan'],2003-05-23,17
Aye Meri Zindagi,['Shreya Ghoshal'],2003-05-23,15
Meherbaan Meherbaan,"['Asha Bhosle', 'Sukhwinder Singh']",2003-10-10,7
Na Shiqwa Hota,['Sujata Bhattacharya'],2003-10-10,5
Sabaq Aisa,['Sujata Bhattacharya'],2003-10-10,4
Mujhpe Toofan Uthaye,['Sujata Bhattacharya'],2003-10-10,3
Woh Ladki Bahut Yaad Aati,"['Kumar Sanu', 'Alka Yagnik']",2003-06-21,25
