Song,Artists,Release Date,Popularity
Aaja Nachle,['Sunidhi Chauhan'],2007-10-18,46
Ishq Hua,"['Sonu Nigam', 'Shreya Ghoshal']",2007-10-18,41
Is Pal,"['Sonu Nigam', 'Shreya Ghoshal']",2007-10-18,32
O Re Piya,['Rahat Fateh Ali Khan'],2007-10-18,55
Dance With Me,['Sonia Saigal'],2007-10-18,16
Show Me Your Jalwa,"['Richa Sharma', 'Kailash Kher', 'Salim Merchant']",2007-10-18,25
Bhool Bhulaiyaa,['Neeraj Shridhar'],2007-09-05,48
Labon Ko,['KK'],2007-09-05,44
Sajda,['KK'],2007-09-05,24
Sakhiya,['Tulsi Kumar'],2007-09-05,21
Mere Dholna,"['Shreya Ghoshal', 'M.G.Shreekumar']",2007-09-05,38
"Cheeni Kum (From ""Cheeni Kum"")","['Shreya Ghoshal', 'Amitabh Bachchan']",2007-05-14,14
"Jane Do Na (From ""Cheeni Kum"")",['Shreya Ghoshal'],2007-05-14,11
Barso Re,"['A.R. Rahman', 'Shreya Ghoshal', 'Uday Mazumdar']",2006-09-11,49
Mayya,"['A.R. Rahman', 'Mariam Toller', 'Chinmayi', 'Keerthi Sagathia']",2006-09-11,37
Baazi Laga,"['A.R. Rahman', 'Hariharan', 'Madhushree', 'Shweta Pandit', 'Bhargavee']",2006-09-11,26
Tere Bina,"['A.R. Rahman', 'Chinmayi', 'Murtuza Khan', 'Qadir Khan']",2006-09-11,58
Dholna,"['Sonu Nigam', 'Shreya Ghoshal']",2007-07-17,28
Sajna Ji Vaari Vaari,"['Sunidhi Chauhan', 'Shekhar Ravjiani']",2007-01-22,37
Pyaar Ki Yeh Kahani,"['Sunidhi Chauhan', 'Gayatri Iyer']",2007-01-22,27
Jaane Hai Who Kahan,"['Shreya Ghoshal', 'Shaan']",2007-01-22,10
Mauja Hi Mauja,['Mika Singh'],2007-09-21,52
Tum Se Hi,['Mohit Chauhan'],2007-09-21,62
Ye Ishq Hai,['Shreya Ghoshal'],2007-09-21,50
Aao Milo Chalo,"['Shaan', 'Sultan Khan']",2007-09-21,52
Aaoge Jab Tum,['Rashid Khan'],2007-09-21,52
Jhoom,['Shankar Mahadevan'],2007-05-15,35
Ticket To Hollywood,"['Neeraj Shridhar', 'Alisha Chinai']",2007-05-15,27
Kiss Of Love,"['Vishal Dadlani', 'Vasundhara Das']",2007-05-15,24
Jbj,"['Zubeen Garg', 'Shankar Mahadevan', 'Sunidhi Chauhan']",2007-05-15,26
Jhoom Barabar Jhoom,"['KK', 'Sukhwinder Singh', 'Mahalakshmi Iyer', 'Shankar Mahadevan']",2007-05-15,38
Bol Na Halke Halke,"['Rahat Fateh Ali Khan', 'Mahalakshmi Iyer']",2007-05-15,52
Jhoom Jam (Instrumental),['Shankar-Ehsaan-Loy'],2007-05-15,19
Chunari Mein Daag,"['Shubha Mudgal', 'Meeta Vashisht']",2007-09-06,10
Kachchi Kaliyaan,"['Sonu Nigam', 'KK', 'Sunidhi Chauhan', 'Shreya Ghoshal']",2007-09-06,18
Hum To Aise Hain,"['Sunidhi Chauhan', 'Shreya Ghoshal', 'Swanand Kirkire', 'Pranab Biswas']",2007-09-06,16
In Dino,"['Pritam', 'Soham']",2007-03-17,49
Alvida,"['Pritam', 'KK']",2007-03-17,41
"Viraaniya (From ""Namastey London"")",['Himesh Reshammiya'],2007-01-27,28
Parvar Digara (Remix),"['KK', 'Tulsi Kumar']",2007-01-03,0
Main Agar Kahoon,"['Sonu Nigam', 'Shreya Ghoshal']",2007-09-18,53
Jag Soona Soona Lage,"['Rahat Fateh Ali Khan', 'Richa Sharma']",2007-09-18,50
Dhoom Taana,"['Shreya Ghoshal', 'Abhijeet']",2007-09-18,44
Dard - E - Disco,"['Sukhwinder Singh', 'Marianne', 'Nisha', 'Caralisa']",2007-09-18,45
You're My Love,"['Shaan', 'Shweta Pandit', 'Suzi Q', ""Earl D'Souza""]",2007-06-12,40
Soni De Nakhre,"['Wajid', 'Labh Janjua', 'Sneha Pant']",2007-06-12,47
Salaam-E-Ishq,"['Sonu Nigam', 'Shreya Ghoshal', 'Kunal Ganjawala', 'Sadhana Sargam', 'Shankar Mahadevan']",2017-07-31,31
Thode Badmash,"['Sanjay Leela Bhansali', 'Shreya Ghoshal']",2007-09-14,35
Jab Se Tere Naina,"['Monty Sharma', 'Shaan']",2007-09-14,55
Chhabeela,"['Monty Sharma', 'Alka Yagnik']",2007-09-14,25
Hey Shona,"['Shaan', 'Sunidhi Chauhan']",2007-04-03,46
Nachle Ve,"['Sonu Nigam', 'Sowmya Raoh']",2007-04-03,28
Ab To Forever,"['KK', 'Shreya Ghoshal', 'Vishal Dadlani']",2007-04-03,42
Saaiyaan,['Vishal Dadlani'],2007-04-03,33
Ta Ra Rum Pum,"['Shaan', 'Mahalakshmi Iyer', 'Sneha Suresh', 'Shravan Suresh']",2007-04-03,27
Ucha Lamba Kad,"['Chorus', 'Anand Raj Anand']",2007-11-01,31
Daras Bina Nahin Chain,"['Monty Sharma', 'Richa Sharma', 'Shail Hada', 'Parthiv Gohil']",2007-09-14,23
