Song,Artists,Release Date,Popularity
Kamli,['Sunidhi Chauhan'],2013-11-14,49
Tum Hi Ho,['Arijit Singh'],2013-04-06,60
Titli,"['Chinmayi', 'Gopi Sundar']",2013-07-03,46
Gulabi,"['Jigar Saraiya', 'Priya Saraiya']",2013-08-19,44
Ishqyaun Dhishyaun,['Aditya Narayan'],2013-10-01,0
Ambarsariya,['Sona Mohapatra'],2013-05-14,52
Balam Pichkari,"['Vishal Dadlani', 'Shalmali Kholgade']",2013-03-30,57
Malang,"['Shilpa Rao', 'Siddharth Mahadevan']",2013-11-14,48
Dilliwaali Girlfriend,"['Arijit Singh', 'Sunidhi Chauhan']",2013-03-30,51
Tooh,"['Vishal-Shekhar', 'Mika Singh', 'Mamta Sharma']",2013-11-01,38
Suit Tera Laal Rang Da,"['Sonu Nigam', 'Sunidhi Chauhan']",2013-06-07,25
Sunn Raha Hai (Female),['Shreya Ghoshal'],2013-04-06,46
Laal Ishq,['Arijit Singh'],2013-10-01,0
Ang Laga De,['Aditi Paul'],2013-10-01,0
Sunn Raha Hai,['Ankit Tiwari'],2013-04-06,60
Aasan Nahin Yahan,['Arijit Singh'],2013-04-06,49
Milne Hai Mujhse Aayi,['Arijit Singh'],2013-04-06,50
Nagada Sang Dhol,"['Shreya Ghoshal', 'Osman Mir']",2013-10-01,3
Chahun Main Ya Naa,"['Palak Muchhal', 'Arijit Singh']",2013-04-06,53
Lahu Munh Lag Gaya,['Shail Hada'],2013-10-01,0
Sawaar Loon,['Monali Thakur'],2013-05-29,46
Piya Aaye Na,"['Tulsi Kumar', 'KK']",2013-04-06,47
Bhula Dena,['Mustafa Zahid'],2013-04-06,53
Chennai Express,"['S. P. Balasubrahmanyam', 'Jonita Gandhi']",2013-07-03,38
Rabba,"['Clinton Cerejo', 'Keerthi Sagathia', 'Ram Sampath']",2013-05-14,25
Manmarziyan,"['Shilpa Rao', 'Amitabh Bhattacharya', 'Amit Trivedi']",2013-05-29,46
Ram Chahe Leela,['Bhoomi Trivedi'],2013-10-01,0
Tattad Tattad,['Aditya Narayan'],2013-10-01,0
Chingam Chabake,"['Vishal-Shekhar', 'Shankar Mahadevan', 'Shalmali Kholgade']",2013-11-01,34
Naina,"['Vishal-Shekhar', 'Kamal Khan', 'Neeti Mohan']",2013-11-01,28
Saajna,['Falak Shabbir'],2013-02-05,41
Matru Ki Bijlee Ka Mandola,"['Vishal Bhardwaj', 'Sukhwinder Singh', 'Ranjit Barot']",2012-12-18,25
Laila,"['Anand Raj Anand', 'Mika Singh']",2013-04-12,27
Dil Tu Hi Bataa,"['Alisha Chinai', 'Zubeen Garg']",2013-09-19,36
Yaaram,"['Vishal Bhardwaj', 'Sunidhi Chauhan', 'Clinton Cerejo']",2013-03-29,36
Its All About Tonight,"['Sunidhi Chauhan', 'Sophie Chaudhary', 'Rahul Vaidya']",2012-09-15,6
Banarasiya,"['A.R. Rahman', 'Shreya Ghoshal']",2013-05-31,36
Ghagra,"['Rekha Bhardwaj', 'Vishal Dadlani']",2013-03-30,49
Hip Hip Huraah,['Sonu Kakkar'],2013-01-22,17
Meri Aashiqui,"['Palak Muchhal', 'Arijit Singh']",2013-04-06,49
Lautungi Main,"['Vishal Bhardwaj', 'Rekha Bhardwaj']",2013-03-29,12
Thanks God Its Friday,['Sunidhi Chauhan'],2013-02-12,6
Dhat Teri Ki,"['Vishal-Shekhar', 'Sanam Puri', 'Aditi Singh Sharma']",2013-11-01,47
Kabira,"['Tochi Raina', 'Rekha Bhardwaj']",2013-03-30,62
Hum Mar Jayenge,"['Tulsi Kumar', 'Arijit Singh']",2013-04-06,49
Gori Tere Pyaar Mein (Mashup) - Mashup by Kiran Kamath,"['Vishal-Shekhar', 'Shankar Mahadevan', 'Shalmali Kholgade', 'Nitesh Kadam', 'Shruti Pathak', 'Sukhwinder Singh', 'Sanah Moidutty', 'Mika Singh', 'Mamta Sharma', 'Kamal Khan', 'Neeti Mohan']",2013-11-01,19
Aashiqui (The Love Theme),['Mithoon'],2013-04-06,45
Bombay Talkies,"['Udit Narayan', 'Alka Yagnik', 'Sukhwinder Singh']",2013-04-16,9
Badtameez Dil,"['Benny Dayal', 'Shefali Alvares']",2013-03-30,55
Ilahi,['Arijit Singh'],2013-03-30,54
Ay Sakhi,"['A.R. Rahman', 'Madhushree', 'Chinmayi', 'Vaishali', 'Aanchal Sethi']",2013-05-31,27
Tamanche Pe Disco,"['Nindy Kaur', 'Raftaar']",2013-10-25,30
Dhoom Machale Dhoom,['Aditi Singh Sharma'],2013-11-14,46
Raghupati Raghav,"['Neeraj Shridhar', 'Monali Thakur', 'Bob']",2013-09-19,27
Naino Mein Sapna,"['Amit Kumar', 'Shreya Ghoshal']",2013-02-12,16
Tere Mere Beech Mein,"['Sunidhi Chauhan', 'Mohit Chauhan']",2013-08-19,27
Chanchal Mann Ati Random,['Divya Kumar'],2013-08-19,19
Shuddh Desi Romance,"['Benny Dayal', 'Shalmali Kholgade']",2013-08-19,27
Zinda,"['Shankar-Ehsaan-Loy', 'Siddharth Mahadevan']",2013-06-14,51
Jeene Laga Hoon,['2Famous'],2014-07-11,17
