Song,Artists,Release Date,Popularity
Chand Sifarish,"['Shaan', 'Kailash Kher']",2006-04-12,56
Mere Haath Mein,"['Sonu Nigam', 'Sunidhi Chauhan', 'Aamir Khan', 'Kajol']",2006-04-12,55
Des Rangila,['Mahalakshmi Iyer'],2006-04-12,37
Dekho Na,"['Sonu Nigam', 'Sunidhi Chauhan']",2006-04-12,39
Chanda Chamke,"['Babul Supriyo', 'Mahalakshmi Iyer', 'Master Akshay Bhagwat', 'Aamir Khan', 'Kajol']",2006-04-12,37
Destroyed In Love [Lounge Mix] (Instrumental),['Jatin-Lalit'],2006-04-12,30
Pyaar Ki Ek Kahani,"['Sonu Nigam', 'Shreya Ghoshal']",2006-04-28,42
Chori Chori Chupke Chupke,"['Udit Narayan', 'Shreya Ghoshal']",2006-04-28,33
Koi Tumsa Nahin,"['Sonu Nigam', 'Shreya Ghoshal']",2006-04-28,38
Kabhi Alvida Naa Kehna,"['Shankar-Ehsaan-Loy', 'Sonu Nigam', 'Alka Yagnik']",2006-06-08,53
Mitwa,"['Shankar-Ehsaan-Loy', 'Shankar Mahadevan', 'Caralisa Monteiro', 'Shafqat Amanat Ali']",2006-06-08,58
Where's the Party Tonight,"['Shankar-Ehsaan-Loy', 'Shaan', 'Vasundhara Das', 'Loy Mendonsa', 'Shankar Mahadevan']",2006-06-08,47
Tumhi Dekho Naa,"['Shankar-Ehsaan-Loy', 'Sonu Nigam', 'Alka Yagnik']",2006-06-08,53
Rock N Roll Soniye,"['Shankar-Ehsaan-Loy', 'Shankar Mahadevan', 'Shaan', 'Mahalakshmi Iyer']",2006-06-08,43
Crazy Kiya Re,['Sunidhi Chauhan'],2006-10-19,47
Touch Me,"['KK', 'Alisha Chinai']",2006-10-19,45
My Name Is Ali,"['Sonu Nigam', 'Bipasha Basu']",2006-10-19,32
Dil Laga Na,"['Sukhbir', 'Soham Chakrabarthy', 'Jolly Mukherjee', 'Mahalakshmi Iyer', 'Suzanne']",2006-10-19,41
"Tu Hi Meri Shab Hai, Pt. 1",['KK'],2006-12-01,38
Ya Ali,['Zubeen Garg'],2006-12-01,41
Kubool Kar Le,"['Udit Narayan', 'Rahul Vaidya', 'Amit Saxena', 'Prajakta Shukre', 'Monali Thakur', 'Suzanne']",2006-09-08,13
Pal Pal Har Pal,"['Sonu Nigam', 'Shreya Ghoshal']",2006-07-24,35
"Beedi (From ""Omkara"")","['Sunidhi Chauhan', 'Sukhwinder Singh', 'Nachiketa Chakravorty', 'Clinton Cerejo']",2006-06-01,40
Namak,"['Rekha Bhardwaj', 'Rakesh Pandit']",2006-06-01,25
"O Saathi Re (From ""Omkara"")","['Shreya Ghoshal', 'Vishal Bhardwaj']",2006-06-01,26
"Naina (From ""Omkara"")",['Rahat Fateh Ali Khan'],2006-06-01,26
Laakad,['Rekha Bhardwaj'],2006-06-01,13
Tu Bin Bataye,"['A.R. Rahman', 'Madhushree', 'Naresh Iyer']",2005-12-04,42
Rang De Basanti,"['A.R. Rahman', 'Daler Mehndi', 'K. S. Chithra']",2005-12-04,48
Luka Chuppi,"['A.R. Rahman', 'Lata Mangeshkar']",2005-12-04,52
Jhute Ilzaam,['Alka Yagnik'],2006-10-04,18
Main Na Mil Saku Jo Tumse,['Alka Yagnik'],2006-10-04,19
Mujhe Haq Hai,"['Udit Narayan', 'Shreya Ghoshal']",2006,21
