Song,Artists,Release Date,Popularity
Nainowale Ne,['Neeti Mohan'],2018-01-21,51
Nazar Na Lag Jaaye,"['Ash King', 'Sachin-Jigar']",2018-08-22,40
Dekhte Dekhte,['Atif Aslam'],2018-09-08,56
Naina Banjare,['Arijit Singh'],2018-09-12,28
Tanha Hua,"['Jyoti Nooran', 'Rahat Fateh Ali Khan']",2018-12-21,32
Dilbar,"['Neha Kakkar', 'Dhvani Bhanushali', 'Ikka']",2018-08-01,60
Aankh Marey,"['Neha Kakkar', 'Mika Singh', 'Kumar Sanu']",2018-12-27,49
Tareefan,"['Badshah', 'QARAN']",2018-05-31,63
Ghoomar,"['Shreya Ghoshal', 'Swaroop Khan']",2018-01-21,44
Morni Banke,"['Guru Randhawa', 'Neha Kakkar']",2018-10-18,57
Kaun Nachdi,"['Guru Randhawa', 'Neeti Mohan']",2018-02-14,57
Ek Dil Ek Jaan,['Shivam Pathak'],2018-01-21,56
Dhadak Title Track,"['Ajay Gogavale', 'Shreya Ghoshal']",2018-06-19,56
Mere Naam Tu,['Abhay Jodhpurkar'],2018-12-21,56
Hallaa,"['Jyoti Nooran', 'Romy']",2018-09-13,22
Wo Ladki,['Arijit Singh'],2018-10-03,45
Sacchi Mohabbat,"['Shahid Mallya', 'Jonita Gandhi']",2018-09-13,27
Nain Na Jodeen,"['Ayushmann Khurrana', 'Neha Kakkar', 'Rochak Kohli']",2018-10-18,36
Nit Khair Manga,['Rahat Fateh Ali Khan'],2018-03-01,31
Pal,"['Javed-Mohsin', 'Arijit Singh', 'Shreya Ghoshal']",2018-09-21,59
Kar Har Maidaan Fateh,"['Sukhwinder Singh', 'Shreya Ghoshal']",2018-06-29,44
Heer Badnaam,['Romy'],2018-12-21,33
Ishtehaar,"['Shamir Tandon', 'Rahat Fateh Ali Khan', 'Dhvani Bhanushali']",2018-02-16,15
Tere Naal Nachna,"['Badshah', 'Sunanda Sharma']",2018-07-17,46
Aao Kabhi Haveli Pe,"['Badshah', 'Nikhita Gandhi', 'Sachin-Jigar']",2018-08-22,46
Akh Lad Jaave,"['Badshah', 'Asees Kaur', 'Jubin Nautiyal']",2018-10-03,54
Bom Diggy Diggy,"['Zack Knight', 'Jasmin Walia']",2018-02-08,60
Mera Pyar Tera Pyar,"['Jeet Gannguli', 'Arijit Singh']",2018-09-21,48
Mujhme,"['Samuel - Akanksha', 'Shilpa Rao']",2018-09-21,34
Grey Walaa Shade,"['Harshdeep Kaur', 'Jazim Sharma']",2018-09-13,28
Binte Dil,['Arijit Singh'],2018-01-21,47
Sanu Ek Pal Chain,['Rahat Fateh Ali Khan'],2018-03-01,30
Daryaa,"['Ammy Virk', 'Shahid Mallya']",2018-09-13,42
Kamariya,"['Aastha Gill', 'Sachin Sanghvi', 'Jigar Saraiya', 'Divya Kumar']",2018-08-22,59
Lo Safar,['Jubin Nautiyal'],2018-03-20,36
Pehli Baar,['Ajay Gogavale'],2018-06-19,42
"Milegi Milegi (From ""Stree"")","['Mika Singh', 'Sachin-Jigar']",2018-08-02,51
Khalibali,"['Shivam Pathak', 'Shail Hada']",2018-01-21,52
Naina Da Kya Kasoor,['Amit Trivedi'],2018-10-03,62
Husn Parcham,"['Bhoomi Trivedi', 'Raja Kumari']",2018-12-21,43
Dilbaro,"['Harshdeep Kaur', 'Shankar Mahadevan', 'Vibha Saraf']",2018-04-19,57
Badhaaiyan Tenu,"['Brijesh Shandailya', 'Romy', 'Jordan']",2018-10-18,38
Dil Chori,"['Yo Yo Honey Singh', 'Simar Kaur', 'Ishers']",2018-02-14,57
Tere Bin,"['Rahat Fateh Ali Khan', 'Asees Kaur', 'Tanishk Bagchi']",2018-12-27,54
Paniyon Sa,"['Atif Aslam', 'Tulsi Kumar']",2018-08-01,55
Lae Dooba,['Sunidhi Chauhan'],2018-02-28,57
Bom Diggy Diggy,"['Zack Knight', 'Jasmin Walia']",2018-02-14,49
Ae Watan (Female),['Sunidhi Chauhan'],2018-04-19,46
Sapna By Asees Kaur,['Asees Kaur'],2018-07-31,38
Mujhe Chaand Pe Le Chalo,['Nikhita Gandhi'],2018-06-29,25
Zingaat,['Ajay-Atul'],2018-06-19,52
Vaara Re,['Ajay Gogavale'],2018-06-19,36
High Rated Gabru,['Guru Randhawa'],2018-07-17,54
Mohabbat,['Sunidhi Chauhan'],2018-07-19,24
Halka Halka,"['Sunidhi Chauhan', 'Divya Kumar']",2018-07-19,48
Fu Bai Fu,['Monali Thakur'],2018-07-19,14
Tere Jaisa Tu Hai,['Monali Thakur'],2018-07-19,21
Achche Din,['Amit Trivedi'],2018-07-19,17
Milegi Milegi,"['Mika Singh', 'Sachin-Jigar']",2018-08-22,35
Aahista,"['Arijit Singh', 'Jonita Gandhi']",2018-08-17,38
Sarphiri,"['Shreya Ghoshal', 'Babul Supriyo']",2018-08-17,28
Tum Se,"['Samuel - Akanksha', 'Jubin Nautiyal']",2018-09-21,41
Pal - Female,"['Javed-Mohsin', 'Shreya Ghoshal']",2018-09-21,40
Tum Se Adlib - Female,"['Samuel - Akanksha', 'Shilpa Rao']",2018-09-21,25
Chonch Ladhiyaan,"['Harshdeep Kaur', 'Jazim Sharma']",2018-09-13,27
Balma,"['Rekha Bhardwaj', 'Sunidhi Chauhan']",2018-09-12,16
Dholida,"['Udit Narayan', 'Neha Kakkar', 'Palak Muchhal', 'Raja Hasan']",2018-10-03,49
Dooba Dooba,"['Sunidhi Chauhan', 'Arijit Singh']",2018-10-03,10
Chand Lamhe,['Shilpa Rao'],2018-10-03,5
Bhare Bazaar,"['Rishi Rich', 'Badshah', 'Vishal Dadlani', 'Payal Dev']",2018-10-03,41
Proper Patola,"['Badshah', 'Diljit Dosanjh', 'Aastha Gill']",2018-10-03,66
Suraiyya,"['Vishal Dadlani', 'Shreya Ghoshal']",2018-10-31,31
Namo Namo,['Amit Trivedi'],2018-11-27,60
Sweetheart,['Dev Negi'],2018-11-27,54
Qaafirana,"['Arijit Singh', 'Nikhita Gandhi']",2018-11-27,62
Jaan 'Nisaar (Asees),['Asees Kaur'],2018-11-27,44
Maee Re,"['Rekha Bhardwaj', 'Madhushree']",2018-10-18,0
Chaav Laaga,"['Papon', 'Ronkini Gupta']",2018-09-21,30
Tu Hi Aham,['Ronkini Gupta'],2018-09-21,16
"Sanu Ek Pal Acoustic - Female (From ""T-Series Acoustics"")","['Neha Kakkar', 'Tony Kakkar', 'Tanishk Bagchi']",2018-03-19,32
Ki Honda Pyaar (Arijit Singh Version),['Arijit Singh'],2019-07-19,55
Mundiyan,"['Navraj Hans', 'Palak Muchhal']",2018-03-20,33
Houn Jau Dya,"['Shreya Ghoshal', 'Shaan', 'Sadhana Sargam']",2018-05-17,18
Tu Pari,"['Rohan Pradhan', 'Shreya Ghoshal']",2018-05-17,13
