Song,Artists,Release Date,Popularity
Bekhayali,['Sachet Tandon'],2019-06-14,59
Tum Hi Aana,"['Payal Dev', 'Jubin Nautiyal']",2020-01-14,32
Ghungroo,"['Arijit Singh', 'Shilpa Rao']",2019-09-24,48
Tabaah Ho Gaye,['Shreya Ghoshal'],2019-04-14,48
Fakira,"['Vishal-Shekhar', 'Sanam Puri', 'Neeti Mohan']",2019-04-26,61
Photo,['Karan Sehmbi'],2019-02-22,37
Duniyaa,"['Akhil', 'Dhvani Bhanushali']",2019-02-22,46
Rajvaadi Odhni,['Jonita Gandhi'],2019-04-14,42
Dilbara,"['Sachet Tandon', 'Parampara Thakur']",2020-01-14,34
Ki Honda Pyaar (Neha Kakkar Version),"['Neha Kakkar', 'Vishal Mishra']",2019-07-19,31
Khairiyat,['Arijit Singh'],2019-08-31,63
Bimar Dil,"['Asees Kaur', 'Jubin Nautiyal']",2019-11-21,37
"Enni Soni (From ""Saaho"")","['Guru Randhawa', 'Tulsi Kumar']",2019-08-02,58
Yaad Piya Ki Aane Lagi,"['Neha Kakkar', 'Tanishk Bagchi', 'Lalit Sen']",2019-11-16,70
Crazy Lagdi,['Swaroop Khan'],2019-10-31,21
Ik Mulaqaat,"['Meet Bros.', 'Palak Muchhal', 'Altamash Faridi']",2019-09-06,62
Filhall,"['B Praak', 'Akshay Kumar & Nupur Sanon']",2019-11-09,65
"Pachtaoge (From ""Jaani Ve"")","['Arijit Singh', 'B Praak']",2019-08-23,66
Sachiya Mohabbatan,['Sachet Tandon'],2019-07-20,31
Apna Time Aayega,"['Ranveer Singh', 'Dub Sharma']",2019-01-24,61
Jai Jai Shivshankar,"['Vishal Dadlani', 'Benny Dayal']",2019-09-24,44
First Class,"['Arijit Singh', 'Neeti Mohan']",2019-04-14,62
Jatt Ludhiyane Da,"['Vishal-Shekhar', 'Vishal Dadlani', 'Payal Dev']",2019-04-26,54
Mumbai Dilli Di Kudiyaan,"['Vishal-Shekhar', 'Dev Negi', 'Payal Dev', 'Vishal Dadlani']",2019-04-26,52
Makhna,"['Tanishk Bagchi', 'Yasser Desai', 'Asees Kaur']",2019-10-03,72
"Psycho Saiyaan (From ""Saaho"")","['Sachet Tandon', 'Dhvani Bhanushali', 'Tanishk Bagchi']",2019-07-08,62
The Hook Up Song,"['Vishal-Shekhar', 'Neha Kakkar', 'Shekhar Ravjiani']",2019-04-26,65
Slowly Slowly,"['Guru Randhawa', 'Pitbull', 'DJ BLACKOUT', 'Dj Money Willz']",2019-04-19,56
The Wakhra Song,"['Navv Inder', 'Lisa Mishra', 'Raja Kumari']",2019-07-08,61
Dil Hi Toh Hai,"['Pritam', 'Arijit Singh', 'Antara Mitra', ""Nikhil D'Souza""]",2019-10-04,57
"Ek Ladki Ko Dekha Toh Aisa Laga (From ""Ek Ladki Ko Dekha Toh Aisa Laga"")","['Darshan Raval', 'Rochak Kohli']",2019-01-08,48
Dil Ka Telephone,"['Meet Bros.', 'Jonita Gandhi', 'Nakash Aziz']",2019-09-06,52
Katthai Katthai,['Shreya Ghoshal'],2019-06-21,25
Ek Malaal,['Shail Hada'],2019-06-21,29
Nadaaniyaan,"['Pritam', 'Arjun Kanungo', 'Lisa Mishra']",2019-10-04,52
Zindagi,"['Pritam', 'Arijit Singh']",2019-10-04,38
Jugraafiya,"['Udit Narayan', 'Shreya Ghoshal']",2019-07-09,50
Aira Gaira,"['Antara Mitra', 'Javed Ali', 'TUSHAR JOSHI']",2019-04-14,37
Kalank (Duet),"['Arijit Singh', 'Shilpa Rao']",2019-04-14,40
Ghar More Pardesiya (Radio Edit),"['Shreya Ghoshal', 'Vaishali Made']",2019-04-14,35
