Song,Artists,Release Date,Popularity
Su Chhe,"['Sohail Sen', 'Bela Shende']",2009-08-18,28
Dhadkan Dhadkan,"['Sohail Sen', 'Tarannum Mallik']",2009-08-18,10
Koi Jaane Na,"['Sohail Sen', 'Rajab Ali', 'Bela Shende']",2009-08-18,8
What's Your Raashee? - Chehre Jo Dekhe Hain,['Sohail Sen'],2009-08-18,21
Zulfaen Khol Khal Ke,"['Sonu Nigam', 'Anuradha Sriram']",2009-09-26,8
Bebo,"['Neeraj Shridhar', 'Anushka Manchanda']",2009-09-26,7
Iktara,"['Amit Trivedi', 'Kavita Seth', 'Amitabh Bhattacharya']",2009-08-21,50
Chiggy Wiggy,"['Kylie Minogue', 'Sonu Nigam', 'Suzanne']",2009-09-10,36
Aaj Dil Gustakh Hai,"['Sukhwinder Singh', 'Shreya Ghoshal']",2009-09-10,21
Fiqrana,"['Vijay Prakash', 'Shreya Ghoshal']",2009-09-10,27
Blue Theme,"['Blaaze', 'Raqeeb Aalam', 'Sonu Kakkar', 'Jaspeert Singh', 'Neha Kakkar', 'Dilshad']",2009-09-10,29
Rehnuma,"['Sonu Nigam', 'Shreya Ghoshal']",2009-09-10,14
Don't Say Alvida,"['Sonu Nigam', 'Shreya Ghoshal', ""Suzanne D'Mello""]",2009-09-05,28
Happening,"['Wajid', 'Sunidhi Chauhan', 'Uvie', 'Farhad', 'Raja Mushtaq']",2009-09-05,18
Barson Yaaron,"['Vishal Dadlani', 'Roop Kumar Rathod']",2009-09-16,27
Khanabadosh,['Mohan'],2009-09-16,24
Rasiya,"['Salim Sulaiman', 'Shruti Pathak', 'Kareena Kapoor']",2009-10-15,27
Kurbaan Hua,"['Salim Sulaiman', 'Vishal Dadlani']",2009-10-15,42
Gale Lag Ja - Version 1,"['Javed Ali', 'Banjyotsna']",2009-11-02,38
Aal Izz Well,"['Sonu Nigam', 'Swanand Kirkire', 'Shaan']",2009-11-09,43
Zoobi Doobi,"['Sonu Nigam', 'Shreya Ghoshal']",2009-11-09,41
Behti Hawa Sa Tha Woh,"['Shaan', 'Shantanu Moitra']",2009-11-09,48
Jaane Nahin Denge Tujhe,['Sonu Nigam'],2009-11-09,43
Mudhi Mudhi Ittefaq Se,['Shilpa Rao'],2009-11-16,19
Udhi Udhi Ittefaq Se,['Shilpa Rao'],2009-11-16,12
Sainya Ve,['Toshi'],2009-10-05,9
Bareily Ke Bazaar Mein,['Sonu Kakkar'],2009-10-05,2
Bareily Ke Bazaar Mein (Remix),['Sonu Kakkar'],2009-10-05,2
Daata Sun Le,['Lata Mangeshkar'],2009-10-05,1
