Song,Artists,Release Date,Popularity
Masakali,['Mohit Chauhan'],2009-01-19,55
Rehna Tu,['A.R. Rahman'],2009-01-19,48
Dil Gira Dafatan,['Ash King'],2009-01-19,33
Genda Phool,['Rekha Bhardwaj'],2009-01-19,47
Bhor Bhaye,"['Bade Ghulam Ali Khan', 'Shreya Ghoshal']",2009-01-19,32
Aarti (Tumre Bhavan Mein),"['Rekha Bhardwaj', 'Kishori Gowariker', 'Shraddha Pandit', 'Sujata Majumdar']",2009-01-19,29
Mahi Mennu,['Labh Janjua'],2009-01-02,21
Emosanal Attyachaar (Brass Band Version),['Band Master Rangeela And Rasila'],2009-01-02,33
Pardesi,['Tochi Raina'],2009-01-02,36
Paayaliya,['Shruti Pathak'],2009-01-02,27
Dhol Yaara Dhol,"['Shilpa Rao', 'Kshitij Tarey']",2009-01-02,24
Hikknaal,['Labh Janjua'],2009-01-02,27
Ranjhana,"['Shilpa Rao', 'Kshitij Tarey']",2009-01-02,18
Mahi Mennu (Sad Version),['Labh Janjua'],2009-01-02,13
Yaar Mila Tha,"['Udit Narayan', 'Madhushree']",2009-09-10,14
Baawre,"['Shankar Mahadevan', 'Loy Mendonsa']",2009-01-01,28
Yeh Aaj Kya Ho Gaya,['Sunidhi Chauhan'],2009-01-01,12
Marjaani,"['Sukhwinder Singh', 'Sunidhi Chauhan']",2009-01-05,46
Love Mera Hit Hit,"['Neeraj Shridhar', 'Tulsi Kumar']",2009-01-05,47
Jaoon Kahan,['Rahat Fateh Ali Khan'],2009-01-05,21
Gazab,"['Sunidhi Chauhan', 'Shaan']",2009-02-12,14
Rock The Party,"['Sunidhi Chauhan', 'Shweta Vijay']",2009-02-12,2
Power,['Dibyendu Mukherjee'],2009-02-12,1
"Mohabbat Aapse (From ""Aa Dekhen Zara"")",['Akriti Kakkar'],2009-02-12,6
Mere Sang,['Sunidhi Chauhan'],2009-06-10,36
Om Mangalam,['RDB'],2009-06-13,32
Lakh Lakh,['Neeraj Shridhar'],2009-06-13,22
Bebo,['Alisha Chinai'],2009-06-13,30
"Kyun (From ""Kambakkht Ishq"")","['Shaan', 'Shreya Ghoshal']",2009-06-13,27
"Twist (From ""Love Aaj Kal"")",['Neeraj Shridhar'],2009-06-27,43
"Chor Bazari (From ""Love Aaj Kal "")","['Neeraj Shridhar', 'Sunidhi Chauhan']",2009-06-27,39
"Aahun Aahun (From ""Love Aaj Kal"")","['Master Saleem', 'Neeraj Shridhar', ""Suzanne D'Mello""]",2009-06-27,41
"Dooriyan (From ""Love Aaj Kal"")",['Mohit Chauhan'],2009-06-27,47
"Ajj Din Chadheya (From ""Love Aaj Kal "")",['Rahat Fateh Ali Khan'],2009-06-27,44
Main Kya Hoon,['KK'],2009-06-27,25
Jee Le,"['Shruti Pathak', 'Naresh Kamath']",2009-06-23,27
Dhan Te Nan,"['Sukhwinder Singh', 'Vishal Dadlani', 'Robert Bob Omulo']",2009-07-06,44
Raat Ke Dhai Baje,"['Suresh Wadkar', 'Rekha Bhardwaj', 'Sunidhi Chauhan', 'Kunal Ganjawala']",2009-07-06,33
Discowale Khisko,"['KK', 'Sunidhi Chauhan', 'Rana Mazumder']",2009-08-12,30
Ishq Hi Hai Rab,"['Sonu Nigam', 'Shreya Ghoshal']",2009-08-12,30
Bhangra Bistar,"['Alisha Chinai', 'Sunidhi Chauhan', 'Hard Kaur']",2009-08-12,23
Gym Shim,['Joshilay'],2009-08-12,16
Hadippa The Remix,"['Mika', 'Sunidhi Chauhan', 'Sandeep Shirodkar']",2009-08-12,26
Love Me Love Me,"['Wajid', 'Amrita Kak']",2009-08-10,31
Ishq Vishq,"['Kamaal Khan', 'Sunidhi Chauhan', 'Suzanne']",2009-08-10,25
Tose Pyar Karte Hai,"['Wajid', 'Sunidhi Chauhan']",2009-08-10,25
What's Your Raashee? - Pal Pal Dil Jisko Dhoonde,['Sohail Sen'],2009-08-18,11
Jao Na,"['Sohail Sen', 'Tarannum Mallik']",2009-08-18,0
Aaja Lehraate,"['Sohail Sen', 'Shaan', 'Bhavya Pandit']",2009-08-18,22
Bikhri Bikhri,"['Sohail Sen', 'Marianne DCruz Aiman']",2009-08-18,25
Sau Janam,"['Sohail Sen', 'Udit Narayan', 'Madhushree']",2009-08-18,12
Aa Le Chal,"['Sohail Sen', 'Aslesha Gowariker', 'Harman Baweja']",2009-08-18,14
Pyaari Pyaari,['Sohail Sen'],2009-08-18,20
