Song,Artists,Release Date,Popularity
Jhumka Chandi Da,"['Anu Malik', 'Udit Narayan', 'Alka Yagnik', 'Sonu Nigam', 'Jaspinder Narula']",2000-06-20,8
Kay Sera Sera,"['Shankar Mahadevan', 'Kavita Krishnamurthy']",1999-11-29,41
Sunta Hai Mera Khuda,"['Udit Narayan', 'Kavita Krishnamurthy', 'Swarnalatha']",1999-11-29,23
Humrahi Jabho Mastana,"['Udit Narayan', 'Hema Sardesai']",1999-11-29,16
Hai Jaana Hai Jaana,['Sujatha'],1999-11-29,21
Kismat Se Tum Hum KO Mile,"['Sonu Nigam', 'Anuradha Paudwal']",1999-11-29,35
Ek Tu Hi Bharosa,"['Lata Mangeshkar', 'Kids']",1999-11-29,32
Ek Pal Ka Jeena,['Lucky Ali'],2000-10-01,42
"Kaho Naa Pyar Hai, Pt. 1","['Udit Narayan', 'Alka Yagnik']",2000-10-01,42
Pyar Ki Kashti Mein,"['Udit Narayan', 'Alka Yagnik']",2000-10-01,35
Janeman Janeman,['Asha Bhosle'],2000-10-01,27
Chand Sitare,['Kumar Sanu'],2000-10-01,39
Hai Mera Dil,"['Udit Narayan', 'Alka Yagnik']",2000-04-15,32
Hum to Dil Se Haare,"['Udit Narayan', 'Alka Yagnik']",2000-04-15,29
Humko Humise Chura Lo,"['Lata Mangeshkar', 'Udit Narayan']",2000-08-27,45
Chalte Chalte,"['Udbhav', 'Manohar Shetty', 'Ishaan', 'Shweta Pandit', 'Sonali Bhatawdekar', 'Pritha Mazumdar']",2000-08-27,43
Pairon Mein Bandhan Hai,"['Udbhav', 'Manohar Shetty', 'Ishaan', 'Shweta Pandit', 'Sonali Bhatawdekar', 'Pritha Mazumdar']",2000-08-27,42
Aankhein Khuli,"['Lata Mangeshkar', 'Udit Narayan', 'Udbhav', 'Manohar Shetty', 'Ishaan', 'Shweta Pandit', 'Sonali Bhatawdekar', 'Pritha Mazumdar', 'Shah Rukh Khan']",2000-08-27,44
Soni Soni,"['Udit Narayan', 'Jaspinder Narula', 'Udbhav', 'Manohar Shetty', 'Ishaan', 'Shweta Pandit', 'Sonali Bhatawdekar', 'Pritha Mazumdar']",2000-08-27,44
Rhythms Of Mohabbatein (Instrumental),['Jatin-Lalit'],2000-08-27,33
"Chupke Se Sun (From ""Mission Kashmir"")","['Udit Narayan', 'Alka Yagnik & Arvind Hasabnish', 'Alka Yagnik']",2013-10-18,23
Panchhi Nadiyan Pawan Ke Jhonke (with Dialogues),"['Sonu Nigam', 'Alka Yagnik', 'Abhishek Bachchan', 'Kareena Kapoor']",2000-12-31,15
Aisa Lagta Hai,"['Sonu Nigam', 'Alka Yagnik']",2000-12-31,22
Raat Ki Hatheli Par (with Dialogues),"['Udit Narayan', 'Kareena Kapoor']",2000-12-31,16
Mere Humsafar,"['Alka Yagnik', 'Sonu Nigam']",2000-12-31,20
Taal Pe Jab,"['Sonu Nigam', 'Alka Yagnik']",2000-12-31,8
Har Dil Jo Pyar Karega,"['Udit Narayan', 'Alka Yagnik']",2000-06-09,40
Piya Piya O Piya,"['Pinky', 'Preeti', 'Prashant']",2000-06-09,30
Na Milo Kahin Pyar,"['Sonu Nigam', 'Kavita Krishnamurthy']",1999-12-04,25
Yaar Mere Yaara Mere,"['Anuradha Paudwal', 'Udit Narayan']",1999-12-04,14
Meri Neend Jaane Lagi Hai,"['Sonu Nigam', 'Alka Yagnik']",2000-03-25,22
Chori Chori Sapnon Mein,"['Abhijeet', 'Alka Yagnik']",2000-03-25,34
Chori Chori Sapnon Mein (Sad),"['Abhijeet', 'Alka Yagnik']",2000-03-25,16
Mehil Taa Sajdi,"['Udit Narayan', 'Bhupinder Mintoo']",2000-04-08,2
Ekwari Tak Le,"['Harry Anand', 'Sunidhi Chauhan']",2000-05-06,16
