Song,Artists,Release Date,Popularity
Chhaliya,"['Sunidhi Chauhan', 'Piyush Mishra']",2008-03-27,38
Dil Haara,['Sukhwinder Singh'],2008-03-27,35
Dil Dance Maare,"['Sukhwinder Singh', 'Sunidhi Chauhan', 'Udit Narayan']",2008-03-27,30
Pooja Ka Tashan,['Kareena Kapoor'],2008-03-27,0
Falak Tak,"['Udit Narayan', 'Mahalakshmi Iyer']",2008-03-27,44
Zara Sa,"['Pritam', 'KK']",2008-03-07,55
Nihaal Ho Gayi,['Shankar Mahadevan'],2008-05-21,22
Lazy Lamhe (Remix) - Remixed By: Dj Aqeel,['ANUSHA MANI'],2008-05-21,14
Bulbula,"['Sunidhi Chauhan', 'Shankar Mahadevan']",2008-05-21,15
Kabhi Kabhi Aditi,['Rashid Ali'],2008-05-21,56
Pappu Can't Dance,"['Benny Dayal', 'Naresh Iyer', 'Satish Chakravarthy', 'Aslam', 'Blaaze', 'Tanvi', 'Bhargavi']",2008-05-21,45
Jaane Tu Mera Kya Hai (Aditi),['Runa'],2008-05-21,35
Nazrein Milaana Nazrein Churaana,"['Benny Dayal', 'Satish Chakravarthy', 'Sayonara', 'Darshana', 'Svetha', 'Bhargavi', 'Anupama']",2008-05-21,41
Tu Bole .Main Boloon,['A.R. Rahman'],2008-05-21,37
Kahin To,"['Rashid Ali', 'Vasundhara Das']",2008-05-21,54
Lover Boy,['Alisha Chinai'],2009-09-28,9
Milo Na Milo,['Shaan'],2009-09-28,17
Jee Karda,"['Labh Janjua', 'Suzie Q']",2008-06-30,39
Bhootni Ke,['Daler Mehndi'],2008-06-30,24
Teri Ore,"['Rahat Fateh Ali Khan', 'Shreya Ghoshal']",2008-06-30,38
Khuda Jaane,"['KK', 'Shilpa Rao']",2008-07-05,59
Lucky Boy,"['Sunidhi Chauhan', 'Hard Kaur', 'Raja Hasan']",2008-07-05,37
Aahista Aahista,"['Lucky Ali', 'Shreya Ghoshal']",2008-07-05,46
Jogi Mahi,"['Sukhwinder Singh', 'Shekhar Ravjiani', 'Himani Kapoor']",2008-07-05,40
Small Town Girl,['Shankar Mahadevan'],2008-07-05,29
Tha Kar Ke,"['Neeraj Shridhar', 'Anweshaa', 'Aakariti', ""Earl D'Souza"", 'Indie']",2008-09-24,33
Fashion Ka Jalwa,"['Sukhwinder Singh', 'Satya Hinduja', ""Robert 'Bob' Omulo""]",2008-09-19,36
Mar Jawaan,"['Shruti Pathak', 'Salim Merchant']",2008-09-19,49
Kuchh Khaas,"['Mohit Chauhan', 'Neha Bhasin']",2008-09-19,45
Theme Of Fashion,['Salim Sulaiman'],2008-09-19,23
Desi Girl,"['Vishal-Shekhar', 'Shankar Mahadevan', 'Sunidhi Chauhan', 'Vishal Dadlani']",2008-10-08,48
Shut Up & Bounce,"['Vishal-Shekhar', 'Sunidhi Chauhan', 'Vishal Dadlani']",2008-10-08,40
Jaane Kyun,"['Vishal-Shekhar', 'Vishal Dadlani']",2008-10-08,47
Khabar Nahi,"['Vishal-Shekhar', 'Shreya Ghoshal', 'Amanat Ali', 'Vishal Dadlani', 'Raja Hasan']",2008-10-08,43
Tu Muskura,"['Alka Yagnik', 'Javed Ali']",2008-10-15,28
Tu Meri Dost Hain,"['Benny Dayal', 'Shreya Ghoshal', 'A.R. Rahman']",2008-10-15,35
Shano Shano,"['Sonu Nigam', 'Srinivas Karthik', 'Timmy', 'Sunaina', 'Vivieanne Pocha', 'Tina']",2008-10-15,22
Tujh Mein Rab Dikhta Hai,['Roop Kumar Rathod'],2008-11-06,58
Haule Haule,['Sukhwinder Singh'],2008-11-06,48
Dance Pe Chance,"['Sunidhi Chauhan', 'Labh Janjua']",2008-11-06,46
Phir Milenge Chalte Chalte,['Sonu Nigam'],2008-11-06,29
Tujh Mein Rab Dikhta Hai - II,['Shreya Ghoshal'],2008-11-06,53
Dancing Jodi,['Salim�Sulaiman'],2008-11-06,37
Guzarish,['Javed Ali'],2008-11-25,47
Aye Bachchu,['Suzanne'],2008-11-25,36
Kaise Mujhe,"['Benny Dayal', 'Shreya Ghoshal']",2008-11-25,49
Behka,['Karthik'],2008-11-25,40
Latoo,['Shreya Ghoshal'],2008-11-25,35
Dekhta Hai Tu Kya,"['Sunidhi Chauhan', 'Keerthi Sagathia']",2008-02-28,21
