Song,Artists,Release Date,Popularity
Rolling in the Deep,['Adele'],2011-01-19,74
Party Rock Anthem,"['LMFAO', 'Lauren Bennett', 'GoonRock']",2011-01-01,67
Firework,['Katy Perry'],2010-08-24,29
E.T.,['Katy Perry'],2010-08-24,19
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)","['Pitbull', 'Ne-Yo', 'Afrojack', 'Nayer']",2011-06-17,26
Grenade,['Bruno Mars'],2010-10-05,75
Forget You,['CeeLo Green'],2010-11-09,62
Super Bass,['Nicki Minaj'],2011-01-01,36
Moves Like Jagger - Studio Recording From The Voice Performance,"['Maroon 5', 'Christina Aguilera']",2010,0
Just Canet Get Enough,['Black Eyed Peas'],2011-01-01,43
On The Floor,"['Jennifer Lopez', 'Pitbull']",2011-01-01,59
S&M,['Rihanna'],2010-11-16,56
Pumped Up Kicks,['Foster The People'],2011-05-23,83
Last Friday Night (T.G.I.F.),['Katy Perry'],2010-08-24,39
Just the Way You Are,['Bruno Mars'],2010-10-05,77
Tonight (I'm Lovin' You),"['Enrique Iglesias', 'Ludacris', 'DJ Frank E']",2010-01-01,0
Raise Your Glass,['P!nk'],2010-10-06,2
Born This Way,['Lady Gaga'],2011-01-01,67
F**kin' Perfect,['P!nk'],2010-11-16,0
What's My Name?,"['Rihanna', 'Drake']",2010-11-16,57
Look At Me Now (feat. Lil' Wayne & Busta Rhymes),"['Chris Brown', 'Lil Wayne', 'Busta Rhymes']",2011-03-22,0
Down On Me,"['Jeremih', '50 Cent']",2010-01-01,42
How To Love,['Lil Wayne'],2011-01-01,33
Someone Like You,['Adele'],2011-01-19,37
Good Life,['OneRepublic'],2009-01-01,45
The Lazy Song,['Bruno Mars'],2010-10-05,73
Till the World Ends,['Britney Spears'],2011-03-25,0
The Show Goes On,['Lupe Fiasco'],2011-03-04,70
The Edge Of Glory,['Lady Gaga'],2011-01-01,47
We R Who We R,['Kesha'],2010-11-19,2
Black and Yellow,['Wiz Khalifa'],2011-03-29,40
Tonight Tonight,['Hot Chelle Rae'],2011-11-25,74
Blow,['Kesha'],2010-11-19,1
Lighters,"['Bad Meets Evil', 'Bruno Mars']",2011-01-01,32
If I Die Young,['The Band Perry'],2010-01-01,68
Stereo Hearts (feat. Adam Levine),"['Gym Class Heroes', 'Adam Levine']",2011-11-15,59
The Time (Dirty Bit),['Black Eyed Peas'],2011-01-01,41
Coming Home,"['Diddy - Dirty Money', 'Skylar Grey']",2010-01-01,9
Hey Baby (Drop It to the Floor) (feat. T-Pain),"['Pitbull', 'T-Pain']",2011-06-17,23
Only Girl (In The World),['Rihanna'],2010-11-16,54
6 Foot 7 Foot - Edited Version,"['Lil Wayne', 'Cory Gunz']",2011-01-01,44
Just A Kiss,['Lady Antebellum'],2011-01-01,30
Dirt Road Anthem,['Jason Aldean'],2010-11-02,9
Dynamite,['Taio Cruz'],2010-01-01,21
No Hands (feat. Roscoe Dash and Wale),"['Waka Flocka Flame', 'Roscoe Dash', 'Wale']",2010-10-05,44
I Wanna Go,['Britney Spears'],2011-03-25,0
I'm On One - Edited Version,"['DJ Khaled', 'Drake', 'Rick Ross', 'Lil Wayne']",2011-01-01,36
You Make Me Feel... (feat. Sabi),"['Cobra Starship', 'Sabi']",2011-08-29,23
Yeah 3x,['Chris Brown'],2011-03-22,0
Moment 4 Life - Album Version (Edited),"['Nicki Minaj', 'Drake']",2011-01-01,26
I Need A Doctor - Edited Version,"['Dr. Dre', 'Eminem', 'Skylar Grey']",2010-01-01,36
Just A Dream - Main,['Nelly'],2010-11-12,73
Motivation,"['Kelly Rowland', 'Lil Wayne']",2011-01-01,40
Stereo Love,"['Edward Maya', 'Vika Jigulina']",2010-01-01,0
Jar of Hearts,['Christina Perri'],2011-05-10,48
Roll Up,['Wiz Khalifa'],2011-03-29,31
Sexy And I Know It,['LMFAO'],2011-01-01,62
Rocketeer,"['Far East Movement', 'Ryan Tedder', 'Ruff Loaderz']",2010-01-01,65
All Of The Lights - Album Version (Edited),['Kanye West'],2010-01-01,44
Hold It Against Me,['Britney Spears'],2011-03-25,0
More - RedOne Jimmy Joker Remix,['Usher'],2010-11-19,3
What the Hell,['Avril Lavigne'],2011-03-04,10
Written in the Stars (feat. Eric Turner),"['Tinie Tempah', 'Eric Turner']",2010-05-31,56
Bottoms Up (feat. Nicki Minaj),"['Trey Songz', 'Nicki Minaj']",2010-09-13,72
DJ Got Us Fallin' In Love (feat. Pitbull),"['Usher', 'Pitbull']",2010-03-30,78
For the First Time,['The Script'],2011-01-18,62
Honey Bee,['Blake Shelton'],2011-07-11,64
Don't You Wanna Stay,"['Jason Aldean', 'Kelly Clarkson']",2010-11-02,4
We Found Love,"['Rihanna', 'Calvin Harris']",2012-07-18,60
Pretty Girl Rock,['Keri Hilson'],2010-01-01,45
You And I,['Lady Gaga'],2011-01-01,48
Like A G6,"['Far East Movement', 'The Cataracs', 'DEV']",2010-01-01,68
Without You (feat. Usher),['David Guetta'],2011-08-31,55
Back To December,['Taylor Swift'],2010-10-25,60
Teenage Dream,['Katy Perry'],2010-08-24,25
Crazy Girl,['Eli Young Band'],2011-01-01,68
Cheers (Drink To That),['Rihanna'],2010-11-16,52
Who Says,['Selena Gomez & The Scene'],2011-01-01,43
Barefoot Blue Jean Night,['Jake Owen'],2011-08-26,71
Knee Deep (feat. Jimmy Buffett),"['Zac Brown Band', 'Jimmy Buffett']",2010-09-20,53
Country Girl (Shake It For Me),['Luke Bryan'],2011-01-01,73
Remind Me (with Carrie Underwood),"['Brad Paisley', 'Carrie Underwood']",2011-05-23,61
In The Dark,"['DEV', 'Flo Rida']",2011-01-01,0
Aston Martin Music,"['Rick Ross', 'Drake', 'Chrisette Michele']",2010-01-01,67
Backseat (feat. The Cataracs & Dev),"['New Boyz', 'The Cataracs', 'Dev']",2011-05-17,21
Headlines,['Drake'],2011-11-15,24
Every Teardrop Is A Waterfall,['Coldplay'],2011-06-05,10
Best Thing I Never Had,['Beyonce'],2011-06-24,43
Don't Wanna Go Home,['Jason Derulo'],2011-09-16,63
Where Them Girls At (feat. Nicki Minaj & Flo Rida),['David Guetta'],2011-08-31,51
She Ain't You,['Chris Brown'],2011-03-22,0
Take A Back Road,['Rodney Atkins'],2011-10-04,3
Please Don't Go,['Mike Posner'],2010,36
Sure Thing,['Miguel'],2010-11-26,73
Price Tag,"['Jessie J', 'B.o.B']",2011-01-01,33
God Gave Me You,['Blake Shelton'],2011-07-11,65
She Will,"['Lil Wayne', 'Drake']",2011-01-01,33
Are You Gonna Kiss Me Or Not,['Thompson Square'],2011-02-08,2
Animal,['Neon Trees'],2010-01-01,69
You and Tequila,"['Kenny Chesney', 'Grace Potter']",2010-09-28,64
