Song,Artists,Release Date,Popularity
Blinding Lights,['The Weeknd'],2020-03-20,96
Toosie Slide,['Drake'],2020-04-03,96
Roses - Imanbek Remix,"['SAINt JHN', 'Imanbek']",2019-10-09,97
Don't Start Now,['Dua Lipa'],2020-03-27,89
death bed (coffee for your head) (feat. beabadoobee),"['Powfu', 'beabadoobee']",2020-02-08,98
The Box,['Roddy Ricch'],2019-12-06,100
Dance Monkey,['Tones And I'],2019-05-10,75
Blueberry Faygo,['Lil Mosey'],2020-02-06,87
Say So,['Doja Cat'],2019-11-07,97
Break My Heart,['Dua Lipa'],2020-03-27,89
Intentions (feat. Quavo),"['Justin Bieber', 'Quavo']",2020-02-14,91
Falling,['Trevor Daniel'],2020-03-26,80
Sunday Best,['Surfaces'],2019-01-06,95
Supalonely,"['BENEE', 'Gus Dapperton']",2019-11-15,94
Savage,['Megan Thee Stallion'],2020-03-06,92
Safaera,"['Bad Bunny', 'Jowell & Randy', 'Nengo Flow']",2020-02-28,95
ROXANNE,['Arizona Zervas'],2019-10-10,96
Yo Perreo Sola,['Bad Bunny'],2020-02-28,93
Someone You Loved,['Lewis Capaldi'],2019-05-17,93
In Your Eyes,['The Weeknd'],2020-03-20,93
Circles,['Post Malone'],2019-09-06,95
Physical,['Dua Lipa'],2020-03-27,88
Boss Bitch,['Doja Cat'],2020-01-23,92
Tusa,"['KAROL G', 'Nicki Minaj']",2019-11-07,96
WHATS POPPIN,['Jack Harlow'],2020-03-13,91
Adore You,['Harry Styles'],2019-12-13,87
Life Is Good (feat. Drake),"['Future', 'Drake']",2020-01-10,94
Rojo,['J Balvin'],2020-03-19,84
@ MEH,['Playboi Carti'],2020-04-16,0
Memories,['Maroon 5'],2019-09-20,94
bad guy,['Billie Eilish'],2019-03-29,93
Favorito,['Camilo'],2020-03-26,85
Godzilla (feat. Juice WRLD),"['Eminem', 'Juice WRLD']",2020-01-17,94
Before You Go,['Lewis Capaldi'],2019-11-22,85
Skechers,['DripReport'],2020-01-12,87
everything i wanted,['Billie Eilish'],2019-11-13,93
Seeorita,"['Shawn Mendes', 'Camila Cabello']",2019-06-19,85
If the World Was Ending - feat. Julia Michaels,"['JP Saxe', 'Julia Michaels']",2019-10-17,89
ily (i love you baby) (feat. Emilee),"['Surf Mesa', 'Emilee']",2019-11-26,87
La Difecil,['Bad Bunny'],2020-02-28,93
Level of Concern,['Twenty One Pilots'],2020-04-09,84
BELIEVE IT,"['PARTYNEXTDOOR', 'Rihanna']",2020-03-27,89
Tattoo,['Rauw Alejandro'],2020-02-13,90
Amarillo,['J Balvin'],2020-03-19,90
Ignorantes,"['Bad Bunny', 'Sech']",2020-02-28,88
Yummy,['Justin Bieber'],2020-02-14,84
Ride It,['Regard'],2019-07-26,91
Lose Control,"['MEDUZA', 'Becky Hill', 'Goodboys']",2019-10-11,91
Boyfriend,['Selena Gomez'],2020-04-09,79
Si Veo a Tu Mame,['Bad Bunny'],2020-02-28,93
