Song,Artists,Release Date,Popularity
"Love Me Like You Do - From ""Fifty Shades Of Grey""",['Ellie Goulding'],2015-01-07,20
Uptown Funk (feat. Bruno Mars),"['Mark Ronson', 'Bruno Mars']",2015-01-12,81
Thinking out Loud,['Ed Sheeran'],2014-06-21,83
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",['The Weeknd'],2014-12-23,15
Sugar,['Maroon 5'],2014-09-02,12
Take Me To Church,['Hozier'],2014-05-20,16
Energy,['Drake'],2015-02-12,6
Know Yourself,['Drake'],2015-02-12,4
10 Bands,['Drake'],2015-02-12,2
Legend,['Drake'],2015-02-12,3
I Don't Fuck With You,"['Big Sean', 'E-40']",2014-01-01,54
Time of Our Lives,"['Pitbull', 'Ne-Yo']",2014-11-21,77
GDFR (feat. Sage the Gemini & Lookas),"['Flo Rida', 'Sage The Gemini', 'Lookas']",2014-09-29,61
Centuries,['Fall Out Boy'],2015-01-16,11
Elastic Heart,['Sia'],2014-07-04,71
I Don't Mind (feat. Juicy J),"['Usher', 'Juicy J']",2014-11-21,71
I'm Not The Only One,['Sam Smith'],2014-01-01,15
No Tellin',['Drake'],2015-02-12,2
6 God,['Drake'],2015-02-12,1
Stay With Me,['Sam Smith'],2014-01-01,19
Now & Forever,['Drake'],2015-02-12,1
Only,"['Nicki Minaj', 'Drake', 'Lil Wayne', 'Chris Brown']",2014-12-15,67
Truffle Butter,"['Nicki Minaj', 'Drake', 'Lil Wayne']",2015-01-23,63
One Last Time,['Ariana Grande'],2014-08-22,18
Somebody,"['Natalie La Rose', 'Jeremih']",2014-01-06,64
Heroes (we could be),['Alesso'],2014-09-15,11
All Your Fault,"['Big Sean', 'Kanye West']",2015-02-23,0
Preach,"['Drake', 'PARTYNEXTDOOR']",2015-02-12,1
Star67,['Drake'],2015-02-12,1
Love Me Harder,"['Ariana Grande', 'The Weeknd']",2014-08-22,8
6 Man,['Drake'],2015-02-12,1
Madonna,['Drake'],2015-02-12,0
7/11,['Beyonce'],2014-11-24,71
Used To,"['Drake', 'Lil Wayne']",2015-02-12,0
