Song,Artists,Release Date,Popularity
Prayer In C (Robin Schulz Remix) [Radio Edit],['Lilly Wood and The Prick'],2014-07-28,58
Ghost,['Ella Henderson'],2014-10-13,67
One Man Can Change The World,"['Big Sean', 'Kanye West', 'John Legend']",2015-02-17,0
Chandelier,['Sia'],2014-07-04,79
No Type,['Rae Sremmurd'],2015-01-06,7
The Heart Wants What It Wants,['Selena Gomez'],2014-11-21,8
Riptide,['Vance Joy'],2014-09-08,78
Jealous,['Nick Jonas'],2014-11-10,1
Blessings,"['Big Sean', 'Drake']",2015-01-30,0
I Want You To Know,"['Zedd', 'Selena Gomez']",2015-02-23,4
Like I Can,['Sam Smith'],2014-01-01,7
Nothing Really Matters - Afrojack Remix,['Mr. Probz'],2015-02-20,52
Lips Are Movin,['Meghan Trainor'],2015-01-09,68
Outside,"['Calvin Harris', 'Ellie Goulding']",2014-10-31,73
She Knows,"['Ne-Yo', 'Juicy J']",2015-01-20,60
Jungle,['Drake'],2015-02-12,3
Take Your Time,['Sam Hunt'],2014-10-27,69
Talking Body,['Tove Lo'],2014-09-24,67
Bang Bang,"['Jessie J', 'Ariana Grande', 'Nicki Minaj']",2014-10-10,15
Company,"['Drake', 'Travis Scott']",2015-02-12,1
Don't,['Ed Sheeran'],2014-06-21,72
Trap Queen,['Fetty Wap'],2014-12-15,48
Play No Games,"['Big Sean', 'Chris Brown', 'Ty Dolla $ign']",2015-02-23,0
Wednesday Night Interlude,"['Drake', 'PARTYNEXTDOOR']",2015-02-12,0
Firestone (feat. Conrad Sewell),"['Kygo', 'Conrad Sewell']",2015-06-24,25
Animals,['Maroon 5'],2014-08-29,3
Only One,"['Kanye West', 'Paul McCartney']",2015-01-08,3
You & The 6,['Drake'],2015-02-12,0
Ayo,"['Chris Brown', 'Tyga']",2015-02-24,73
Shut Up and Dance,['WALK THE MOON'],2014-12-02,79
Geronimo,['Sheppard'],2014-01-01,14
Often,['The Weeknd'],2014-07-31,3
Worth It (feat. Kid Ink),"['Fifth Harmony', 'Kid Ink']",2015-01-30,74
I Bet My Life,['Imagine Dragons'],2015-02-17,0
0 To 100 / The Catch Up,['Drake'],2013-07-14,71
Heartbeat Song,['Kelly Clarkson'],2015-01-12,16
All About That Bass,['Meghan Trainor'],2015-01-09,71
6PM In New York,['Drake'],2015-02-12,0
All of Me,['John Legend'],2013-08-30,85
Dark Sky (Skyscrapers),['Big Sean'],2015-02-23,0
Stolen Dance,['Milky Chance'],2014-05-12,14
I See Fire,['Ed Sheeran'],2014-06-21,23
Blame,"['Calvin Harris', 'John Newman']",2014-10-31,75
Rather Be (feat. Jess Glynne),"['Clean Bandit', 'Jess Glynne']",2014-05-27,61
Maps,['Maroon 5'],2014-08-29,3
Paradise - Extended,['Big Sean'],2015-02-23,0
Feeling Myself,"['Nicki Minaj', 'Beyonce']",2014-12-15,66
Dark Horse,"['Katy Perry', 'Juicy J']",2013-01-01,14
"Win Some, Lose Some",['Big Sean'],2015-02-17,0
Tuesday (feat. Drake),"['ILOVEMAKONNEN', 'Drake']",2014-12-15,56
Radioactive,['Imagine Dragons'],2012-09-04,17
Habits (Stay High),['Tove Lo'],2014-09-24,46
Slow Motion,['Trey Songz'],2015-01-20,52
Apparently,['J. Cole'],2014-12-09,69
CoCo,['O.T. Genasis'],2014-11-10,64
Break Free,"['Ariana Grande', 'Zedd']",2014-08-22,11
Uma Thurman,['Fall Out Boy'],2015-01-16,4
Sledgehammer,['Fifth Harmony'],2015-01-30,64
Don't Tell 'Em,"['Jeremih', 'YG']",2014-06-06,5
Demons,['Imagine Dragons'],2012-09-04,20
Night Changes,['One Direction'],2014-11-17,77
Shots,['Imagine Dragons'],2015-02-17,0
Let Her Go,['Passenger'],2012-11-05,76
I Know,"['Big Sean', 'Jhene Aiko']",2015-02-23,1
Wet Dreamz,['J. Cole'],2014-12-09,78
Throw Sum Mo,"['Rae Sremmurd', 'Nicki Minaj', 'Young Thug']",2015-01-06,65
