Song,Artists,Release Date,Popularity
How You Remind Me,['Nickelback'],2001-09-11,78
Foolish,['Ashanti'],2002-01-01,71
Hot In Herre,['Nelly'],2010-10-12,26
Dilemma,"['Nelly', 'Kelly Rowland']",2010-10-12,28
Wherever You Will Go,['The Calling'],2001,72
A Thousand Miles,['Vanessa Carlton'],2011-01-01,62
In the End,['Linkin Park'],2000-10-24,83
What's Luv? (feat. Ja-Rule & Ashanti),"['Fat Joe', 'Ja Rule', 'Ashanti']",2001-12-04,72
U Got It Bad,['Usher'],2001-08-07,70
Blurry,['Puddle Of Mudd'],2001-01-01,9
Complicated,['Avril Lavigne'],2002-06-04,78
Always On Time,"['Ja Rule', 'Ashanti']",2012-01-01,55
Ain't It Funny - Murder Remix,"['Jennifer Lopez', 'Ja Rule', 'Cadillac Tah']",1999,2
The Middle,['Jimmy Eat World'],2001,20
"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]","['Diddy', 'Ginuwine', 'Loon', 'Mario Winans']",2004-03-09,67
Gangsta Lovin',"['Eve', 'Alicia Keys']",2002-01-01,58
My Sacrifice,['Creed'],2004-11-23,0
Without Me,['Eminem'],2002-05-26,83
Hero,['Enrique Iglesias'],2001-01-01,62
Rock The Boat,['Love'],2015-07-31,0
Wasting My Time,['Default'],2001,61
One Last Breath,['Creed'],2004-11-23,0
"Whenever, Wherever",['Shakira'],2001-11-13,75
I'm Gonna Be Alright,"['Jennifer Lopez', 'Cory Rooney', 'Poke and Tone']",1999,0
Oh Boy,"['Cameron', 'Juelz Santana']",2002-01-01,65
Heaven (featuring Do),"['DJ Sammy', 'D/O']",2002-08-06,43
Hey Baby,"['No Doubt', 'Bounty Killer']",2003-01-01,38
Girlfriend,['*NSYNC'],2001-07-24,50
Just a Friend 2002 - Radio Edit,['Mario'],2002-07-22,62
Soak Up The Sun,['Sheryl Crow'],2003-01-01,38
Don't Let Me Get Me - Radio Edit,['P!nk'],2010-11-12,0
Nothin',['N.O.R.E.'],2002-01-01,53
Oops (Oh My) [feat. Missy Elliott],"['Tweet', 'Missy Elliott']",2002-04-02,61
A Moment Like This,['Kelly Clarkson'],2012-11-19,32
Addictive,"['Truth Hurts', 'Rakim']",2002-01-01,51
Happy,['Ashanti'],2002-01-01,63
No Such Thing,['John Mayer'],2001-08-16,66
Just Like a Pill,['P!nk'],2010-11-12,0
Can't Get You out of My Head,['Kylie Minogue'],2002-02-08,50
Superman (It's Not Easy),['Five For Fighting'],2003-02-25,5
Cleanin' Out My Closet,['Eminem'],2002-05-26,71
Halfcrazy,['Musiq Soulchild'],2012-01-01,0
"Lights, Camera, Action!",['Mr. Cheeks'],2001-01-01,24
Still Fly,['Big Tymers'],2002-01-01,61
A Woman's Worth,['Alicia Keys'],2001-06-05,4
7 Days,['Craig David'],2001-07-17,14
Hey Ma,"['Cameron', 'Juelz Santana', 'Freekey Zeekey', 'Toya']",2002-01-01,59
Work It,['Missy Elliott'],2002-11-11,70
Move Bitch,"['Disturbing Tha Peace', 'Ludacris', 'Mystikal', 'I-20']",2002-01-01,54
Can't Fight The Moonlight,['LeAnn Rimes'],2001-01-30,2
Escape,['Enrique Iglesias'],2001-01-01,53
Hella Good,['No Doubt'],2003-01-01,51
I Love You,['Faith Evans'],2001,53
Gotta Get Thru This - D'N'D Radio Edit,"['Daniel Bedingfield', ""D'N'D Productions""]",2002-01-01,48
Pass the Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix,"['Busta Rhymes', 'Diddy', 'Pharrell Williams']",2001-11-13,11
Lose Yourself,['Eminem'],2002-10-29,45
Butterflies,['Michael Jackson'],2001-10-29,57
What About Us? - Radio Mix,['Brandy'],2002-01-22,20
Underneath Your Clothes,['Shakira'],2001-11-13,66
Rainy Dayz,"['Mary J. Blige', 'Ja Rule']",2001-08-28,45
Differences,['Ginuwine'],2006,52
If I Could Go (feat. Sacario & Lil Mo),['Angie Martinez'],2002-06-04,1
The Whole World (feat. Killer Mike),"['OutKast', 'Killer Mike']",2001-10-04,7
Underneath It All,"['No Doubt', 'Lady Saw']",2003-01-01,46
Caramel,"['City High', 'Eve']",2001-01-01,46
Luv U Better,['LL Cool J'],2002-10-08,53
Gimme the Light,['Sean Paul'],2002-11-12,59
Gone,['*NSYNC'],2005-10-25,34
Livin' It Up,"['Ja Rule', 'Case']",2012-01-01,42
Rollout (My Business),['Ludacris'],2001-01-01,59
Here Is Gone,['The Goo Goo Dolls'],2007-11-06,48
No More Drama,['Mary J. Blige'],2001-01-01,53
Days Go By,['Dirty Vegas'],2002-06-04,1
Baby,['Ashanti'],2002-01-01,55
The Good Stuff,['Kenny Chesney'],2009-05-19,53
