Song,Artists,Release Date,Popularity
Shape of You,['Ed Sheeran'],2017-03-03,85
Despacito - Remix,"['Luis Fonsi', 'Daddy Yankee', 'Justin Bieber']",2017-04-17,24
That's What I Like,['Bruno Mars'],2016-11-17,81
HUMBLE.,['Kendrick Lamar'],2017-04-14,13
Something Just Like This,"['The Chainsmokers', 'Coldplay']",2017-02-22,75
Bad and Boujee (feat. Lil Uzi Vert),"['Migos', 'Lil Uzi Vert']",2017-01-27,76
Closer,"['The Chainsmokers', 'Halsey']",2016-07-29,85
Body Like A Back Road,['Sam Hunt'],2017-02-01,8
Believer,['Imagine Dragons'],2017-06-23,21
Congratulations,"['Post Malone', 'Quavo']",2016-12-09,17
Say You Won't Let Go,['James Arthur'],2016-09-09,75
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","['DJ Khaled', 'Justin Bieber', 'Quavo', 'Chance the Rapper', 'Lil Wayne']",2017-06-22,75
XO Tour Llif3,['Lil Uzi Vert'],2017-08-25,85
Mask Off,['Future'],2017-06-30,81
Unforgettable,"['French Montana', 'Swae Lee']",2017-07-14,81
24K Magic,['Bruno Mars'],2016-11-17,78
Stay (with Alessia Cara),"['Zedd', 'Alessia Cara']",2017-02-23,16
Black Beatles,"['Rae Sremmurd', 'Gucci Mane']",2016-08-12,11
Starboy,"['The Weeknd', 'Daft Punk']",2016-11-25,17
Location,['Khalid'],2017-04-27,82
Attention,['Charlie Puth'],2017-04-20,24
There's Nothing Holdin' Me Back,['Shawn Mendes'],2017-04-20,25
Redbone,['Childish Gambino'],2016-12-02,15
"I Donet Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","['ZAYN', 'Taylor Swift']",2016-12-09,20
It Ain't Me (with Selena Gomez),"['Kygo', 'Selena Gomez']",2017-02-16,78
iSpy (feat. Lil Yachty),"['KYLE', 'Lil Yachty']",2016-12-02,76
Issues,['Julia Michaels'],2017-01-13,19
