Song,Artists,Release Date,Popularity
Somebody That I Used To Know,"['Gotye', 'Kimbra']",2011-01-01,75
We Are Young (feat. Janelle Monee),"['fun.', 'Janelle Monee']",2011-09-20,62
Wild Ones (feat. Sia),"['Flo Rida', 'Sia']",2011-12-19,56
Stronger (What Doesn't Kill You),['Kelly Clarkson'],2011-10-24,66
Starships,['Nicki Minaj'],2012-01-01,3
The Motto,"['Drake', 'Lil Wayne']",2012-01-01,10
What Makes You Beautiful,['One Direction'],2011-10-28,37
We Found Love,"['Rihanna', 'Calvin Harris']",2012-07-18,60
Take Care,"['Drake', 'Rihanna']",2011-11-15,51
Sexy And I Know It,['LMFAO'],2011-01-01,62
Set Fire to the Rain,['Adele'],2011-01-19,74
Lights - Single Version,['Ellie Goulding'],2010,61
Party Rock Anthem,"['LMFAO', 'Lauren Bennett', 'GoonRock']",2011,5
Turn Me On,"['David Guetta', 'Nicki Minaj']",2012-01-01,0
"Young, Wild & Free (feat. Bruno Mars)","['Snoop Dogg', 'Wiz Khalifa', 'Bruno Mars']",2011-10-11,78
Rack City,['Tyga'],2011-01-01,54
Payphone,"['Maroon 5', 'Wiz Khalifa']",2012-01-01,6
Part Of Me,['Katy Perry'],2012,2
Ass Back Home (feat. Neon Hitch),"['Gym Class Heroes', 'Neon Hitch']",2011-11-11,61
Drunk On You,['Luke Bryan'],2011-01-01,66
Mercy,"['Kanye West', 'Big Sean', 'Pusha T', '2 Chainz']",2012-01-01,70
Moves Like Jagger - Studio Recording From The Voice Performance,"['Maroon 5', 'Christina Aguilera']",2010,45
Where Have You Been,['Rihanna'],2011-11-19,66
Springsteen,['Eric Church'],2011-01-01,73
International Love (feat. Chris Brown),"['Pitbull', 'Chris Brown']",2011-06-17,71
Good Girl,['Carrie Underwood'],2012-05-01,60
Charlie Brown,['Coldplay'],2011-10-24,66
Ni**as In Paris,"['JAY-Z', 'Kanye West']",2011-08-08,33
Titanium (feat. Sia),"['David Guetta', 'Sia']",2011-08-30,1
Wide Awake,['Katy Perry'],2012-03-12,68
Some Nights,['fun.'],2012-02-21,71
Rumour Has It,['Adele'],2011-01-19,65
Give Your Heart a Break,['Demi Lovato'],2011-01-01,70
"Back in Time - featured in ""Men In Black 3""",['Pitbull'],2012-03-26,47
Not Over You,['Gavin DeGraw'],2011-09-16,69
Paradise,['Coldplay'],2011-10-24,77
Someone Like You,['Adele'],2011-01-19,78
"Work Hard, Play Hard",['Wiz Khalifa'],2012-04-23,47
The One That Got Away,['Katy Perry'],2010-01-01,64
So Good,['B.o.B'],2012-04-30,37
Drank in My Cup,['Kirko Bangz'],2011-09-16,62
Cashin' Out,['Ca$h Out'],2012-03-26,57
Rolling in the Deep,['Adele'],2010-11-30,56
Somethin' 'Bout A Truck,['Kip Moore'],2012-01-01,69
Even If It Breaks Your Heart,['Eli Young Band'],2011-01-01,67
Come Over,['Kenny Chesney'],2012-06-19,60
Too Close,['Alex Clare'],2011-01-01,62
We Run The Night,"['Havana Brown', 'Pitbull']",2011-01-01,55
Whistle,['Flo Rida'],2012-04-24,63
Let's Go - Radio Edit - feat. Ne-Yo,['Calvin Harris'],2012-04-22,0
No Lie,"['2 Chainz', 'Drake']",2012-01-01,1
Wanted,['Hunter Hayes'],2011-10-07,2
Want U Back,['Cher Lloyd'],2012-09-05,25
Pontoon,['Little Big Town'],2012,2
As Long As You Love Me,"['Justin Bieber', 'Big Sean']",2012-01-01,72
One More Night,['Maroon 5'],2012-01-01,33
Ho Hey,['The Lumineers'],2012-04-03,11
Don't Wake Me Up,['Chris Brown'],2012-06-29,7
We Are Never Ever Getting Back Together,['Taylor Swift'],2012-01-01,2
Take a Little Ride,['Jason Aldean'],2012-07-17,0
Pound The Alarm,['Nicki Minaj'],2012-01-01,0
Blown Away,['Carrie Underwood'],2012-05-01,64
50 Ways to Say Goodbye,['Train'],2012-04-17,66
It's Time,['Imagine Dragons'],2012-01-01,19
Adorn,['Miguel'],2012-10-02,53
Hard To Love,['Lee Brice'],2012-04-24,2
Pop That,"['French Montana', 'Rick Ross', 'Drake', 'Lil Wayne']",2012-01-01,0
I Will Wait,['Mumford & Sons'],2012-09-21,8
Little Talks,['Of Monsters and Men'],2011-01-01,6
Die Young,['Kesha'],2012-11-30,15
Diamonds,['Rihanna'],2012-01-01,56
Girl On Fire,['Alicia Keys'],2012-09-04,14
The A Team,['Ed Sheeran'],2011-09-09,67
Thinkin Bout You,['Frank Ocean'],2012-01-01,74
Cruise,['Florida Georgia Line'],2012-01-01,72
Locked Out of Heaven,['Bruno Mars'],2012-10-02,45
I Cry,['Flo Rida'],2012-06-22,59
Fly over States,['Jason Aldean'],2010-11-02,5
Over You,['Miranda Lambert'],2011-11-01,0
5 O'Clock (feat. Lily Allen & Wiz Khalifa),"['T-Pain', 'Lily Allen', 'Wiz Khalifa']",2011-12-02,52
A Thousand Years,['Christina Perri'],2011-11-04,58
Dance (A$$),['Big Sean'],2011-01-01,49
I Don't Want This Night To End,['Luke Bryan'],2011-01-01,66
Love You Like A Love Song,['Selena Gomez & The Scene'],2011-01-01,75
Red Solo Cup,['Toby Keith'],2011-01-01,10
Stereo Hearts (feat. Adam Levine),"['Gym Class Heroes', 'Adam Levine']",2011-06-14,54
Turn Up the Music,['Chris Brown'],2012-03-23,1
Without You - feat. Usher,"['David Guetta', 'Usher']",2011,0
Work Out,['J. Cole'],2011-09-23,10
You Da One,['Rihanna'],2012-07-18,56
Drive By,['Train'],2012-04-17,74
Blow Me (One Last Kiss),['P!nk'],2012-09-17,7
Boyfriend,['Justin Bieber'],2012-01-01,72
Brokenhearted,['Karmin'],2012-05-07,62
BURN IT DOWN,['Linkin Park'],2012-06-20,73
Call Me Maybe,['Carly Rae Jepsen'],2012-01-01,69
Climax,['Usher'],2012-06-08,5
Scream,['Usher'],2012-06-08,7
Clique,"['Kanye West', 'JAY-Z', 'Big Sean']",2012-01-01,49
