Song,Artists,Release Date,Popularity
Team,['Lorde'],2013-01-01,75
Dark Horse,"['Katy Perry', 'Juicy J']",2013-01-01,77
"Happy - From ""Despicable Me 2""",['Pharrell Williams'],2014-01-22,15
Talk Dirty (feat. 2 Chainz),"['Jason Derulo', '2 Chainz']",2013-09-10,68
Timber (feat. Ke$ha),"['Pitbull', 'Kesha']",2013-10-07,61
"Hold On, We're Going Home","['Drake', 'Majid Jordan']",2013-01-01,14
Story of My Life,['One Direction'],2013-10-28,37
Can't Remember to Forget You,"['Shakira', 'Rihanna']",2014-01-13,6
Let Her Go,['Passenger'],2012-07-24,29
Bend Ova,"['Lil Jon', 'Tyga']",2014-07-22,57
All of Me,['John Legend'],2013-08-30,85
Counting Stars,['OneRepublic'],2013-01-01,2
Adore You,['Miley Cyrus'],2013-10-04,70
Say Something,"['A Great Big World', 'Christina Aguilera']",2013-11-04,60
Midnight Memories,['One Direction'],2013-11-25,69
Demons,['Imagine Dragons'],2012-09-04,41
The Monster,"['Eminem', 'Rihanna']",2013-01-01,2
Burn,['Ellie Goulding'],2013-01-01,66
Neon Lights,['Demi Lovato'],2013-01-01,3
Do What U Want,"['Lady Gaga', 'Christina Aguilera']",2013-10-21,54
Stay The Night - featuring Hayley Williams of Paramore,"['Zedd', 'Hayley Williams']",2013-01-01,2
Unconditionally,['Katy Perry'],2013-01-01,73
"White Walls (feat. ScHoolboy Q, Hollis)","['Macklemore & Ryan Lewis', 'Hollis', 'ScHoolboy Q']",2012-10-09,55
Sweater Weather,['The Neighbourhood'],2013-04-19,81
Royals,['Lorde'],2013-01-01,25
This Is What It Feels Like,"['Armin van Buuren', 'Trevor Guthrie']",2013-04-05,56
Trumpsta - Djuro Remix,"['Contiez', 'Treyy G']",2013-05-13,47
Do What U Want - DJWS Remix,"['Lady Gaga', 'R. Kelly', 'Rick Ross']",2013-01-01,0
The Man,['Aloe Blacc'],2013-01-01,9
Love More,"['Chris Brown', 'Nicki Minaj']",2013-07-22,2
Certified Freak,"['Baby Bash', 'Baeza', 'G Curtis']",2014-11-18,44
Fancy,"['Iggy Azalea', 'Charli XCX']",2014-01-01,68
Rude,['MAGIC!'],2014-06-25,78
Blue Moon,['Beck'],2014-01-01,55
All About That Bass,['Meghan Trainor'],2014-06-30,64
Drunk in Love (feat. Jay-Z),"['Beyonce', 'JAY-Z']",2013-12-20,49
Problem,"['Ariana Grande', 'Iggy Azalea']",2014-08-25,74
Stay With Me,['Sam Smith'],2014-01-01,22
Am I Wrong,['Nico & Vinz'],2014-01-21,63
Turn Down for What,"['DJ Snake', 'Lil Jon']",2013-12-18,72
"Let It Go - From ""Frozen""/Soundtrack Version",['Idina Menzel'],2013-01-01,76
Wake Me Up,['Avicii'],2013-01-01,84
Chandelier,['Sia'],2014-07-04,79
Black Widow,"['Iggy Azalea', 'Rita Ora']",2014-01-01,64
Bang Bang,"['Jessie J', 'Ariana Grande', 'Nicki Minaj']",2014-07-29,61
Latch,"['Disclosure', 'Sam Smith']",2013-01-01,18
Maps,['Maroon 5'],2014-09-02,1
Loyal,"['Chris Brown', 'Lil Wayne', 'Tyga']",2014-09-12,10
Best Day Of My Life,['American Authors'],2013-03-19,14
Habits (Stay High),['Tove Lo'],2014-09-24,46
Summer,['Calvin Harris'],2014-10-31,79
Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verreter,['Charli XCX'],2014-05-19,49
2AM.,"['Adrian Marcel', 'Sage The Gemini']",2014-01-01,59
Anaconda,['Nicki Minaj'],2014-12-15,64
Break Free,"['Ariana Grande', 'Zedd']",2014-08-25,74
