Song,Artists,Release Date,Popularity
Blurred Lines,"['Robin Thicke', 'T.I.', 'Pharrell Williams']",2013-01-01,17
Holy Grail,"['JAY-Z', 'Justin Timberlake']",2013-07-04,63
Can't Hold Us - feat. Ray Dalton,['Macklemore & Ryan Lewis'],2012-10-09,82
Just Give Me a Reason (feat. Nate Ruess),"['P!nk', 'Nate Ruess']",2012-09-18,80
Treasure,['Bruno Mars'],2012-12-07,76
Mirrors,['Justin Timberlake'],2013-02-11,4
When I Was Your Man,['Bruno Mars'],2012-12-07,82
Thrift Shop (feat. Wanz),"['Macklemore & Ryan Lewis', 'Wanz']",2012-08-01,69
I Love It (feat. Charli XCX) - Original Version,"['Icona Pop', 'Charli XCX']",2012-06-19,66
Radioactive,['Imagine Dragons'],2012-01-01,24
Cruise,['Florida Georgia Line'],2012-01-01,72
Feel This Moment (feat. Christina Aguilera),"['Pitbull', 'Christina Aguilera']",2012-11-16,56
Started From the Bottom - Edited Version,['Drake'],2013-01-01,31
Heart Attack,['Demi Lovato'],2013-01-01,51
Suit & Tie,"['Justin Timberlake', 'JAY-Z']",2013-01-15,1
Come & Get It,['Selena Gomez'],2013-01-01,56
The Way,"['Ariana Grande', 'Mac Miller']",2013-01-01,2
Wagon Wheel,['Darius Rucker'],2013-05-31,2
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,"['Daft Punk', 'Pharrell Williams', 'Nile Rodgers']",2013-04-19,77
My Songs Know What You Did In The Dark (Light Em Up),['Fall Out Boy'],2013-02-12,0
#thatPOWER,"['will.i.am', 'Justin Bieber']",2013-01-01,4
Power Trip,"['J. Cole', 'Miguel']",2013-02-14,59
22,['Taylor Swift'],2012-01-01,1
Love Me,"['Lil Wayne', 'Drake', 'Future']",2013-01-01,41
Boys 'Round Here (feat. Pistol Annies & Friends),"['Blake Shelton', 'Pistol Annies']",2013-03-26,67
Ho Hey,['The Lumineers'],2012-04-03,11
Bad (feat. Tiara Thomas),"['Wale', 'Tiara Thomas']",2013-02-05,53
Mama's Broken Heart,['Miranda Lambert'],2011-11-01,2
Get Your Shine On,['Florida Georgia Line'],2012-01-01,62
Daylight,['Maroon 5'],2012-01-01,38
Harlem Shake,['Baauer'],2012-06-12,2
Locked Out of Heaven,['Bruno Mars'],2012-10-02,45
Alive,['Krewella'],2012-06-18,56
Gentleman,['PSY'],2013-01-01,1
Next to Me,['Emeli Sande'],2012,3
I Knew You Were Trouble.,['Taylor Swift'],2012-01-01,1
Troublemaker (feat. Flo Rida),"['Olly Murs', 'Flo Rida']",2012-11-23,58
Scream & Shout,"['will.i.am', 'Britney Spears']",2012-01-01,13
Bugatti - Edited Version,"['Ace Hood', 'Future', 'Rick Ross']",2013-01-01,0
Carry On,['fun.'],2012-02-21,61
Sail,['AWOLNATION'],2010,4
Sweet Nothing (feat. Florence Welch),"['Calvin Harris', 'Florence Welch']",2012-10-29,71
Fine China,['Chris Brown'],2013-04-01,2
Downtown,['Lady Antebellum'],2013-05-08,0
Body Party,['Ciara'],2013-03-12,33
Pirate Flag,['Kenny Chesney'],2013-02-05,2
Don't You Worry Child (Radio Edit) [feat. John Martin],['Swedish House Mafia'],2012,11
Rich As Fuck,"['Lil Wayne', '2 Chainz']",2013-01-01,50
I Will Wait,['Mumford & Sons'],2012-09-21,8
Crash My Party,['Luke Bryan'],2013-01-01,2
Cups (Pitch Perfectes eWhen Iem Gonee) - Pop Version,['Anna Kendrick'],2013-01-01,64
"Bitch, Donet Kill My Vibe",['Kendrick Lamar'],2012-01-01,42
I Want Crazy - Encore,['Hunter Hayes'],2013-04-07,57
No New Friends - SFTB Remix,"['DJ Khaled', 'Drake', 'Rick Ross', 'Lil Wayne']",2013-01-01,45
1994,['Jason Aldean'],2012-10-16,2
Clarity - Brillz Remix,"['Zedd', 'Foxes']",2013-01-01,45
Give It All We Got Tonight,['George Strait'],2012-01-01,3
Here's to Never Growing Up,['Avril Lavigne'],2013-04-09,1
Sure Be Cool If You Did,['Blake Shelton'],2013-01-08,51
If I Didn't Have You,['Thompson Square'],2012-10-30,0
Own It,['Mack Wilds'],2013-09-27,38
DONE.,['The Band Perry'],2013-01-01,34
"Gone, Gone, Gone",['Phillip Phillips'],2012-01-01,45
The Other Side,['Jason Derulo'],2013-04-16,3
Like Jesus Does,['Eric Church'],2011-01-01,57
We Still in the Bitch (feat. T.I. and Juicy J),"['B.o.B', 'T.I.', 'Juicy J']",2013-01-08,50
Beat This Summer,['Brad Paisley'],2013-03-05,0
Anywhere With You,['Jake Owen'],2011-08-26,58
I Need Your Love (feat. Ellie Goulding),"['Calvin Harris', 'Ellie Goulding']",2012-10-29,70
Love and War,['Tamar Braxton'],2012-12-06,0
I Hit It First,"['Ray J', 'Bobby Brackins']",2013-04-09,44
Hey Girl,['Billy Currington'],2013-01-01,0
Lego House,['Ed Sheeran'],2011-09-09,59
Battle Scars,"['Lupe Fiasco', 'Guy Sebastian']",2012-09-25,70
Kisses Down Low,['Kelly Rowland'],2013-01-01,37
Hey Pretty Girl,['Kip Moore'],2012-01-01,61
Levitate,['Hadouken!'],2013,32
I Drive Your Truck,['Lee Brice'],2012-04-24,1
Same Love - feat. Mary Lambert,"['Macklemore & Ryan Lewis', 'Mary Lambert']",2012-10-09,68
Stay,"['Rihanna', 'Mikky Ekko']",2012-12-11,68
Karate Chop (Remix),"['Future', 'Lil Wayne']",2013-02-19,0
More Than Miles,['Brantley Gilbert'],2010,48
Wild for the Night (feat. Skrillex & Birdy Nam Nam),"['A$AP Rocky', 'Skrillex', 'Birdy Nam Nam', 'Lord Flacko']",2013-01-11,10
Beat It,"['Sean Kingston', 'Chris Brown', 'Wiz Khalifa']",2013-04-15,37
Molly,"['Tyga', 'Cedric Gervais', 'Wiz Khalifa', 'Mally Mall']",2013-01-01,1
How Many Drinks?,['Miguel'],2012-09-28,58
High School,"['Nicki Minaj', 'Lil Wayne']",2012-01-01,30
See You Again,['Carrie Underwood'],2012-05-01,55
Demons,['Imagine Dragons'],2012-01-01,2
R.I.P.,"['Jeezy', '2 Chainz']",2013-01-01,25
"White Walls (feat. ScHoolboy Q, Hollis)","['Macklemore & Ryan Lewis', 'Hollis', 'ScHoolboy Q']",2012-10-10,61
Wings,['Little Mix'],2012-08-26,42
Young And Beautiful,['Lana Del Rey'],2013-04-23,12
Jump Right In,['Zac Brown Band'],2012-07-03,39
Sexy People (The Fiat Song),"['Arianna', 'Pitbull']",2013-02-01,31
Safe And Sound,['Capital Cities'],2013-01-01,13
Royals,['Lorde'],2013-01-01,79
Freaks,"['French Montana', 'Nicki Minaj']",2013-01-01,0
