Song,Artists,Release Date,Popularity
Old Town Road (feat. Billy Ray Cyrus) - Remix,"['Lil Nas X', 'Billy Ray Cyrus']",2019-04-05,31
Sunflower - Spider-Man: Into the Spider-Verse,"['Post Malone', 'Swae Lee']",2018-12-14,86
Without Me,['Halsey'],2018-10-04,85
bad guy,['Billie Eilish'],2019-03-29,93
Wow.,['Post Malone'],2018-12-24,27
Happier,"['Marshmello', 'Bastille']",2018-08-17,88
7 rings,['Ariana Grande'],2019-01-18,25
Talk (feat. Disclosure),"['Khalid', 'Disclosure']",2019-04-05,80
SICKO MODE,['Travis Scott'],2018-08-03,86
Sucker,['Jonas Brothers'],2019-03-01,43
High Hopes,['Panic! At The Disco'],2018-06-22,85
"thank u, next",['Ariana Grande'],2018-11-03,25
Truth Hurts,['Lizzo'],2019-05-03,77
Dancing With A Stranger (with Normani),"['Sam Smith', 'Normani']",2019-01-11,86
Seeorita,"['Shawn Mendes', 'Camila Cabello']",2019-06-21,89
I Don't Care (with Justin Bieber),"['Ed Sheeran', 'Justin Bieber']",2019-05-10,87
Eastside (with Halsey & Khalid),"['benny blanco', 'Halsey', 'Khalid']",2018-07-12,83
Going Bad (feat. Drake),"['Meek Mill', 'Drake']",2018-11-30,84
Shallow,"['Lady Gaga', 'Bradley Cooper']",2018-10-05,87
Better,['Khalid'],2018-09-14,74
No Guidance (feat. Drake),"['Chris Brown', 'Drake']",2019-06-08,76
Girls Like You (feat. Cardi B),"['Maroon 5', 'Cardi B']",2018-05-30,79
Sweet but Psycho,['Ava Max'],2018-08-17,86
Suge,['DaBaby'],2019-03-01,84
MIDDLE CHILD,['J. Cole'],2019-01-23,84
Drip Too Hard (Lil Baby & Gunna),"['Lil Baby', 'Gunna']",2018-10-05,83
Someone You Loved,['Lewis Capaldi'],2019-05-17,93
Ransom,['Lil Tecca'],2019-06-04,24
If I Can't Have You,['Shawn Mendes'],2019-05-03,83
Goodbyes (Feat. Young Thug),"['Post Malone', 'Young Thug']",2019-07-05,29
ZEZE (feat. Travis Scott & Offset),"['Kodak Black', 'Offset', 'Travis Scott']",2018-12-14,81
Better Now,['Post Malone'],2018-04-27,85
Youngblood,['5 Seconds of Summer'],2018-06-15,83
Money In The Grave (Drake ft. Rick Ross),"['Drake', 'Rick Ross']",2019-06-15,86
Speechless,['Dan + Shay'],2018-05-18,70
"break up with your girlfriend, i'm bored",['Ariana Grande'],2019-02-08,82
Please Me,"['Cardi B', 'Bruno Mars']",2019-02-15,77
Money,['Cardi B'],2018-10-23,78
You Need To Calm Down,['Taylor Swift'],2019-06-14,31
Panini,['Lil Nas X'],2019-06-21,79
Look Back at It,['A Boogie Wit da Hoodie'],2018-12-21,80
a lot,['21 Savage'],2018-12-21,80
ME! (feat. Brendon Urie of Panic! At The Disco),"['Taylor Swift', 'Brendon Urie', 'Panic! At The Disco']",2019-04-26,25
MIA (feat. Drake),"['Bad Bunny', 'Drake']",2018-10-11,81
Pop Out (feat. Lil Tjay),"['Polo G', 'Lil Tjay']",2019-02-07,12
Beautiful Crazy,['Luke Combs'],2018-06-01,81
Thotiana,['Blueface'],2018-12-18,76
Lucid Dreams,['Juice WRLD'],2018-12-10,89
Mo Bamba,['Sheck Wes'],2018-10-05,80
Beautiful People (feat. Khalid),"['Ed Sheeran', 'Khalid']",2019-06-28,86
Wake Up in the Sky,"['Gucci Mane', 'Bruno Mars', 'Kodak Black']",2018-09-14,77
Whiskey Glasses,['Morgan Wallen'],2018-04-27,81
God's Country,['Blake Shelton'],2019-03-29,75
Be Alright,['Dean Lewis'],2018-06-29,83
Pure Water (with Migos),"['Mustard', 'Migos']",2019-01-16,19
The Git Up,['Blanco Brown'],2019-05-03,29
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","['DJ Snake', 'Selena Gomez', 'Ozuna', 'Cardi B']",2018-09-28,81
Close To Me (with Diplo) (feat. Swae Lee),"['Ellie Goulding', 'Diplo', 'Swae Lee']",2018-10-24,80
Envy Me,['Calboy'],2018-12-13,72
