Song,Artists,Release Date,Popularity
You Say,['Lauren Daigle'],2018-09-07,79
"Hey Look Ma, I Made It",['Panic! At The Disco'],2018-06-22,76
Circles,['Post Malone'],2019-09-06,95
Beer Never Broke My Heart,['Luke Combs'],2019-06-07,27
The London (feat. J. Cole & Travis Scott),"['Young Thug', 'J. Cole', 'Travis Scott']",2019-05-23,80
Con Calma - Remix,"['Daddy Yankee', 'Katy Perry', 'Snow']",2019-04-19,72
Murder On My Mind,['YNW Melly'],2018-08-03,84
when the party's over,['Billie Eilish'],2019-03-29,89
Act Up,['City Girls'],2018-11-16,76
I Like It,"['Cardi B', 'Bad Bunny', 'J Balvin']",2018-04-06,82
Trampoline,['SHAED'],2018-09-21,74
Leave Me Alone,['Flipp Dinero'],2018-09-04,76
breathin,['Ariana Grande'],2018-08-17,77
bury a friend,['Billie Eilish'],2019-03-29,85
Close Friends (Lil Baby & Gunna),['Lil Baby'],2018-10-05,77
Baby Shark,['Pinkfong'],2017-07-27,78
My Type,['Saweetie'],2019-03-29,58
Worth It,['YK Osiris'],2019-02-08,72
Only Human,['Jonas Brothers'],2019-06-07,84
Knockin' Boots,['Luke Bryan'],2019-03-29,75
Trip,['Ella Mai'],2018-10-12,77
Rumor,['Lee Brice'],2017-11-03,76
Swervin (feat. 6ix9ine),"['A Boogie Wit da Hoodie', '6ix9ine']",2018-12-21,83
How Do You Sleep?,['Sam Smith'],2019-07-19,87
Baby (Lil Baby feat. DaBaby),"['Quality Control', 'Lil Baby', 'DaBaby']",2019-08-16,78
Look What God Gave Her,['Thomas Rhett'],2019-05-31,74
Good as You,['Kane Brown'],2018-11-09,12
Clout (feat. Cardi B),"['Offset', 'Cardi B']",2019-02-22,76
Love Lies (with Normani),"['Khalid', 'Normani']",2018-02-14,78
One Thing Right,"['Marshmello', 'Kane Brown']",2019-06-21,82
Cash Shit (feat. DaBaby),"['Megan Thee Stallion', 'DaBaby']",2019-05-17,78
Tequila,['Dan + Shay'],2018-06-22,76
Shotta Flow,['NLE Choppa'],2019-01-17,72
Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),"['Megan Thee Stallion', 'Ty Dolla $ign', 'Nicki Minaj']",2019-08-09,77
Talk You Out Of It,['Florida Georgia Line'],2019-02-15,66
Beautiful (feat. Camila Cabello),"['Bazzi', 'Camila Cabello']",2018-08-02,80
Eyes On You,['Chase Rice'],2017-11-17,76
All To Myself,['Dan + Shay'],2018-05-03,67
boyfriend (with Social House),"['Ariana Grande', 'Social House']",2019-08-02,83
Walk Me Home,['P!nk'],2019-02-20,73
Robbery,['Juice WRLD'],2019-03-08,86
