Song,Artists,Release Date,Popularity
Love Yourself,['Justin Bieber'],2015-11-13,23
Sorry,['Justin Bieber'],2015-11-13,20
One Dance,"['Drake', 'WizKid', 'Kyla']",2016-05-06,19
Work,"['Rihanna', 'Drake']",2016-01-28,16
Stressed Out,['Twenty One Pilots'],2015-05-15,83
Panda,['Desiigner'],2016-06-26,6
Hello,['Adele'],2015-10-23,61
Don't Let Me Down,"['The Chainsmokers', 'Daya']",2016-02-05,80
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",['Justin Timberlake'],2016-05-06,78
Closer,"['The Chainsmokers', 'Halsey']",2016-07-29,85
Cheap Thrills,['Sia'],2016-01-29,77
7 Years,['Lukas Graham'],2016-04-01,79
Needed Me,['Rihanna'],2016-01-28,14
My House,['Flo Rida'],2015-04-07,76
I Took A Pill In Ibiza,['Mike Posner'],2016-05-06,3
Work from Home (feat. Ty Dolla $ign),"['Fifth Harmony', 'Ty Dolla $ign']",2016-05-27,78
This Is What You Came For,"['Calvin Harris', 'Rihanna']",2016-04-29,79
Cake By The Ocean,['DNCE'],2016-11-18,16
"Me, Myself & I","['G-Eazy', 'Bebe Rexha']",2015-12-04,77
Ride,['Twenty One Pilots'],2015-05-15,81
Heathens,['Twenty One Pilots'],2016-06-16,81
PILLOWTALK,['ZAYN'],2016-03-25,78
Stitches,['Shawn Mendes'],2015-04-13,21
Hotline Bling,['Drake'],2016-05-06,10
Cold Water (feat. Justin Bieber & Me),"['Major Lazer', 'Justin Bieber', 'Me']",2016-07-22,18
Send My Love (To Your New Lover),['Adele'],2016-06-24,71
Roses,"['The Chainsmokers', 'ROZES']",2015-06-16,73
Treat You Better,['Shawn Mendes'],2016-09-23,16
Too Good,"['Drake', 'Rihanna']",2016-05-06,12
Low Life (feat. The Weeknd),"['Future', 'The Weeknd']",2016-04-13,75
What Do You Mean?,['Justin Bieber'],2015-11-13,15
The Hills,['The Weeknd'],2015-08-28,13
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",['P!nk'],2016-04-15,70
Broccoli (feat. Lil Yachty),"['DRAM', 'Lil Yachty']",2016-10-21,70
Don't,['Bryson Tiller'],2015-10-02,79
Dangerous Woman,['Ariana Grande'],2016-05-20,12
Jumpman,"['Drake', 'Future']",2015-09-20,8
"i hate u, i love u (feat. olivia o'brien)","['gnash', ""Olivia O'Brien""]",2016-03-25,81
Here,['Alessia Cara'],2016-03-11,66
Same Old Love,['Selena Gomez'],2015-10-09,67
Controlla,['Drake'],2016-05-06,10
Like I'm Gonna Lose You (feat. John Legend),"['Meghan Trainor', 'John Legend']",2015-01-09,78
One Call Away,['Charlie Puth'],2016-01-29,72
Let It Go,['James Bay'],2015-03-20,74
NO,['Meghan Trainor'],2016-05-13,35
Never Forget You,"['Zara Larsson', 'MNEK']",2015-09-10,14
Let Me Love You,"['DJ Snake', 'Justin Bieber']",2016-08-05,20
Don't Mind,['Kent Jones'],2016-04-25,66
H.O.L.Y.,['Florida Georgia Line'],2016-08-26,3
We Don't Talk Anymore,"['Charlie Puth', 'Selena Gomez']",2016-01-29,79
Into You,['Ariana Grande'],2016-05-20,16
Gold,['Kiiara'],2016-03-22,68
Exchange,['Bryson Tiller'],2015-10-02,79
